日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,更新接受次数,更新拒绝次数,保持计划不可行次数,预计调整节省_元
2025-02-14,更新至18:00,38519.16444927644,38519.16444927644,0.0,16089.747757146639,0.0,0.0,16089.747757146639,3,0,0,37.68266544353992
2025-02-15,仅0:00预报,38521.437854366595,38521.437854366595,2.2737367544323206e-13,16525.071507456094,0.0,6.497202775790356e-13,16525.071507456094,0,0,0,0.0
2025-02-15,更新至6:00,38521.437854366595,38521.437854366595,2.2737367544323206e-13,16525.071507456094,0.0,6.497202775790356e-13,16525.071507456094,0,1,0,0.1660230413235695
2025-02-15,更新至12:00,38521.437854366595,38896.754308796815,2.2737367544323206e-13,16525.071507456094,187.48922439807308,6.497202775790356e-13,16712.560731854166,1,1,0,5.022130211606964
2025-02-15,更新至18:00,38521.437854366595,38521.437854366595,2.2737367544323206e-13,16525.071507456094,0.0,6.497202775790356e-13,16525.071507456094,2,1,0,29.92412772793523
2025-02-16,仅0:00预报,87825.23204191495,87825.23204191495,0.0,61403.39668689774,0.0,0.0,61403.39668689774,0,0,0,0.0
2025-02-16,更新至6:00,87825.23204191495,87825.23204191495,0.0,61403.39668689774,0.0,0.0,61403.39668689774,0,1,0,0.0
2025-02-16,更新至12:00,87825.23204191495,87825.23204191495,0.0,61403.39668689774,0.0,0.0,61403.39668689774,0,2,0,0.0
2025-02-16,更新至18:00,87825.23204191495,87825.23204191495,0.0,61403.39668689774,0.0,0.0,61403.39668689774,0,3,0,0.0
2025-02-17,仅0:00预报,84540.39293578448,84540.39293578448,0.0,57710.16060107478,0.0,0.0,57710.16060107478,0,0,0,0.0
2025-02-17,更新至6:00,84540.39293578448,84540.39293578448,0.0,57710.16060107478,0.0,0.0,57710.16060107478,0,1,0,0.0
2025-02-17,更新至12:00,84540.39293578448,84540.39293578448,0.0,57710.16060107478,0.0,0.0,57710.16060107478,0,2,0,0.0
2025-02-17,更新至18:00,84540.39293578448,84540.39293578448,0.0,57710.16060107478,0.0,0.0,57710.16060107478,0,3,0,0.0
2025-02-18,仅0:00预报,77727.58033540541,77727.58033540541,24.471675000000005,52141.739099730425,0.0,124.70765580000003,52266.44675553042,0,0,0,0.0
2025-02-18,更新至6:00,77727.58033540541,77811.58273082206,9.355908333333332,52141.739099730425,114.72401326855763,47.67770886666666,52304.14082186564,1,0,0,44.92702010242374
2025-02-18,更新至12:00,77727.58033540541,77811.58273082206,9.355908333333332,52141.739099730425,114.72401326855763,47.67770886666666,52304.14082186564,1,1,0,44.92702010242374
2025-02-18,更新至18:00,77727.58033540541,77811.58273082206,9.355908333333332,52141.739099730425,114.72401326855763,47.67770886666666,52304.14082186564,1,2,0,44.92702010242374
2025-02-19,仅0:00预报,75455.5496767197,75455.5496767197,1370.2946369087324,50884.09390387926,0.0,8756.6435818215,59640.73748570075,0,0,0,0.0
2025-02-19,更新至6:00,75455.5496767197,75971.02873930073,1008.7684048803179,50884.09390387926,378.57580023370963,6474.400639673206,57737.070343786174,1,0,0,172.54049272528937
2025-02-19,更新至12:00,75455.5496767197,78148.52985314367,5.285350000000108,50884.09390387926,2814.674306827633,27.483820000000566,53726.25203070689,2,0,0,2293.852879373284
2025-02-19,更新至18:00,75455.5496767197,78148.52985314367,5.285350000000108,50884.09390387926,2814.674306827633,27.483820000000566,53726.25203070689,2,1,0,2293.852879373284
2025-02-20,仅0:00预报,79032.61966483555,79032.61966483555,51.45631250000008,53225.314975294954,0.0,288.69564128125046,53514.010616576204,0,0,0,0.0
2025-02-20,更新至6:00,79032.61966483555,79296.3124485316,51.45631250000008,53225.314975294954,346.3279419821324,288.69564128125046,53860.33855855834,1,0,0,248.43346711130107
2025-02-20,更新至12:00,79032.61966483555,79032.61966483555,51.45631250000008,53225.314975294954,0.0,288.69564128125046,53514.010616576204,2,0,0,419.8250178973167
2025-02-20,更新至18:00,79032.61966483555,79032.61966483555,51.45631250000008,53225.314975294954,0.0,288.69564128125046,53514.010616576204,2,1,0,419.8250178973167
2025-02-21,仅0:00预报,35717.716821453185,35717.716821453185,0.0,14976.929501319079,0.0,0.0,14976.929501319079,0,0,0,0.0
2025-02-21,更新至6:00,35717.716821453185,35717.716821453185,0.0,14976.929501319079,0.0,0.0,14976.929501319079,0,1,0,0.32312113017724187
2025-02-21,更新至12:00,35717.716821453185,36001.584604366595,0.0,14976.929501319079,166.5310348461511,0.0,15143.46053616523,1,1,0,33.44029120527102
2025-02-21,更新至18:00,35717.716821453185,35717.716821453185,0.0,14976.929501319079,0.0,0.0,14976.929501319079,2,1,0,41.89557698712997
2025-02-22,仅0:00预报,34821.56047667805,34821.56047667805,167.52284706944846,14950.271720337521,0.0,841.9839119875472,15792.255632325068,0,0,0,0.0
2025-02-22,更新至6:00,34821.56047667805,35296.326969850474,167.52284706944846,14950.271720337521,279.2466903235983,841.9839119875472,16071.502322648666,1,0,0,15.934500243204639
2025-02-22,更新至12:00,34821.56047667805,35192.153938967225,167.52284706944846,14950.271720337521,181.49652958684155,841.9839119875472,15973.75216191191,2,0,0,73.75221014074577
2025-02-22,更新至18:00,34821.56047667805,34821.56047667805,167.52284706944846,14950.271720337521,0.0,841.9839119875472,15792.255632325068,3,0,0,88.31663803362335
2025-02-23,仅0:00预报,78287.49569517102,78287.49569517102,150.652822555557,52305.2771596055,0.0,751.1595393250628,53056.43669893056,0,0,0,0.0
2025-02-23,更新至6:00,78287.49569517102,78355.89627939324,82.2522383333328,52305.2771596055,99.82475157414254,412.17118472249757,52817.27309590214,1,0,0,31.14656272956563
2025-02-23,更新至12:00,78287.49569517102,78355.89627939324,82.2522383333328,52305.2771596055,99.82475157414254,412.17118472249757,52817.27309590214,1,1,0,31.14656272956563
2025-02-23,更新至18:00,78287.49569517102,78355.89627939324,82.2522383333328,52305.2771596055,99.82475157414254,412.17118472249757,52817.27309590214,1,2,0,31.14656272956563
2025-02-24,仅0:00预报,73979.88893974022,73979.88893974022,34.148083333333375,49554.291133079445,0.0,174.289304391667,49728.580437471115,0,0,0,0.0
2025-02-24,更新至6:00,73979.88893974022,75736.21663094376,34.148083333333375,49554.291133079445,1392.200229493546,174.289304391667,51120.78066696466,1,0,0,1714.5486287665956
2025-02-24,更新至12:00,73979.88893974022,75028.35879066598,34.148083333333375,49554.291133079445,874.5216198737542,174.289304391667,50603.10205734487,2,0,0,2279.7703686101377
2025-02-24,更新至18:00,73979.88893974022,75028.35879066598,34.148083333333375,49554.291133079445,874.5216198737542,174.289304391667,50603.10205734487,2,1,0,2279.7703686101377
2025-02-25,仅0:00预报,75017.66848768143,75017.66848768143,1.1368683772161603e-13,49888.42923674945,0.0,5.460947249957826e-13,49888.42923674945,0,0,0,0.0
2025-02-25,更新至6:00,75017.66848768143,75017.66848768143,1.1368683772161603e-13,49888.42923674945,0.0,5.460947249957826e-13,49888.42923674945,0,1,0,0.0
2025-02-25,更新至12:00,75017.66848768143,75017.66848768143,1.1368683772161603e-13,49888.42923674945,0.0,5.460947249957826e-13,49888.42923674945,0,2,0,0.0
2025-02-25,更新至18:00,75017.66848768143,75017.66848768143,1.1368683772161603e-13,49888.42923674945,0.0,5.460947249957826e-13,49888.42923674945,0,3,0,0.0
2025-02-26,仅0:00预报,67967.3982065064,67967.3982065064,3801.8327910417424,44846.50744116241,0.0,23483.911783968975,68330.41922513138,0,0,0,0.0
2025-02-26,更新至6:00,67967.3982065064,70299.92493103337,1743.5843991735164,44846.50744116241,2502.4365711336063,11205.251632280657,58554.19564457667,1,0,0,3573.4018286512082
2025-02-26,更新至12:00,67967.3982065064,73012.39527620183,15.19334583333341,44846.50744116241,5509.529723902886,77.2172701687504,50433.25443523405,2,0,0,7593.769340955874
2025-02-26,更新至18:00,67967.3982065064,73012.39527620183,15.19334583333341,44846.50744116241,5509.529723902886,77.2172701687504,50433.25443523405,2,1,0,7593.769340955874
2025-02-27,仅0:00预报,69959.17553305042,69959.17553305042,1298.8761692751468,45460.011042816914,0.0,7753.886942691596,53213.89798550851,0,0,0,0.0
2025-02-27,更新至6:00,69959.17553305042,70836.29301211557,476.9410919557099,45460.011042816914,1208.6963584153425,2931.5889934814277,49600.29639471368,1,0,0,477.5811319510758
2025-02-27,更新至12:00,69959.17553305042,72108.8742143022,19.832862500000488,45460.011042816914,2224.5213676677668,101.42525882500247,47785.95766930968,2,0,0,1241.1174220496218
2025-02-27,更新至18:00,69959.17553305042,72108.8742143022,19.832862500000488,45460.011042816914,2224.5213676677668,101.42525882500247,47785.95766930968,2,1,0,1241.1174220496218
2025-02-28,仅0:00预报,33466.5817313353,33466.5817313353,551.5337984166707,13708.826028487285,0.0,2073.3376392773393,15782.163667764624,0,0,0,0.0
2025-02-28,更新至6:00,33466.5817313353,34072.552552437155,282.64876250000066,13708.826028487285,461.0548187314329,1116.1025248179749,15285.983372036691,1,0,0,208.8586595751185
2025-02-28,更新至12:00,33466.5817313353,34072.552552437155,282.64876250000066,13708.826028487285,461.0548187314329,1116.1025248179749,15285.983372036691,1,1,0,208.8586595751185
2025-02-28,更新至18:00,33466.5817313353,33735.46676725197,282.64876250000066,13708.826028487285,294.9052352136532,1116.1025248179749,15119.833788518914,2,1,0,263.48280454973246
2025-03-01,仅0:00预报,36546.09459940705,36546.09459940705,1.7053025658242404e-13,15082.264299341392,0.0,6.165237209643237e-13,15082.264299341392,0,0,0,0.0
2025-03-01,更新至6:00,36546.09459940705,36883.180384592226,1.7053025658242404e-13,15082.264299341392,164.38130666527923,6.165237209643237e-13,15246.64560600667,1,0,0,21.949808973368818
2025-03-01,更新至12:00,36546.09459940705,36883.180384592226,1.7053025658242404e-13,15082.264299341392,164.38130666527923,6.165237209643237e-13,15246.64560600667,1,1,0,21.949808973367908
2025-03-01,更新至18:00,36546.09459940705,36582.6272537998,1.7053025658242404e-13,15082.264299341392,17.815148914624775,6.165237209643237e-13,15100.079448256016,2,1,0,37.691658898337664
2025-03-02,仅0:00预报,77870.19529630062,77870.19529630062,539.2284564048648,51815.06041226185,0.0,3117.9314566063,54932.99186886815,0,0,0,0.0
2025-03-02,更新至6:00,77870.19529630062,79945.0287570249,299.8196177983515,51815.06041226185,2685.5897341254,1636.4859220370695,56137.13606842433,1,0,0,3131.537058118817
2025-03-02,更新至12:00,77870.19529630062,79945.0287570249,299.8196177983515,51815.06041226185,2685.5897341254,1636.4859220370695,56137.13606842433,1,1,0,3131.537058118817
2025-03-02,更新至18:00,77870.19529630062,79945.0287570249,299.8196177983515,51815.06041226185,2685.5897341254,1636.4859220370695,56137.13606842433,1,2,0,3131.537058118817
2025-03-03,仅0:00预报,81133.76447262321,81133.76447262321,361.87757924794755,54406.134052591784,0.0,2076.63598540689,56482.77003799867,0,0,0,0.0
2025-03-03,更新至6:00,81133.76447262321,81453.48629454861,42.15575732253626,54406.134052591784,445.9316716641224,201.37322775132714,55053.43895200724,1,0,0,104.07935332057878
2025-03-03,更新至12:00,81133.76447262321,81194.98132796527,300.6607239058685,54406.134052591784,81.31688953315732,1674.6969040946324,56162.147846219574,2,0,0,354.35131840519716
2025-03-03,更新至18:00,81133.76447262321,81375.69519420654,119.94685766461203,54406.134052591784,431.1103403396776,551.3866682252456,55388.63106115671,3,0,0,529.855498938342
2025-03-04,仅0:00预报,72713.33157414192,72713.33157414192,1066.8426075012608,47373.48886352076,0.0,6548.304448723295,53921.79331224406,0,0,0,0.0
2025-03-04,更新至6:00,72713.33157414192,74876.70779062613,2.2737367544323206e-13,47373.48886352076,2476.728867579656,1.302737473451998e-12,49850.21773110042,1,0,0,1117.5054017467269
2025-03-04,更新至12:00,72713.33157414192,74093.53364062612,2.2737367544323206e-13,47373.48886352076,1809.6500620446557,1.302737473451998e-12,49183.138925565414,2,0,0,1725.3936098882273
2025-03-04,更新至18:00,72713.33157414192,74093.53364062612,2.2737367544323206e-13,47373.48886352076,1809.6500620446557,1.302737473451998e-12,49183.138925565414,2,1,0,1725.3936098882273
2025-03-05,仅0:00预报,75814.67148435698,75814.67148435698,3.331633333333457,49011.05516916959,0.0,16.901375900000627,49027.95654506959,0,0,0,0.0
2025-03-05,更新至6:00,75814.67148435698,75814.67148435698,3.331633333333457,49011.05516916959,0.0,16.901375900000627,49027.95654506959,0,1,0,0.0
2025-03-05,更新至12:00,75814.67148435698,75814.67148435698,3.331633333333457,49011.05516916959,0.0,16.901375900000627,49027.95654506959,0,2,0,0.0
2025-03-05,更新至18:00,75814.67148435698,75814.67148435698,3.331633333333457,49011.05516916959,0.0,16.901375900000627,49027.95654506959,0,3,0,0.0
2025-03-06,仅0:00预报,70563.63578233859,70563.63578233859,2.2737367544323206e-13,45514.40770104399,0.0,1.2663576853810809e-12,45514.40770104399,0,0,0,0.0
2025-03-06,更新至6:00,70563.63578233859,70742.79117204796,2.2737367544323206e-13,45514.40770104399,206.56381334375436,1.2663576853810809e-12,45720.97151438774,1,0,0,65.46591448306208
2025-03-06,更新至12:00,70563.63578233859,70742.79117204796,2.2737367544323206e-13,45514.40770104399,206.56381334375436,1.2663576853810809e-12,45720.97151438774,1,1,0,65.46591448306208
2025-03-06,更新至18:00,70563.63578233859,70742.79117204796,2.2737367544323206e-13,45514.40770104399,206.56381334375436,1.2663576853810809e-12,45720.97151438774,1,2,0,65.46591448306208
2025-03-07,仅0:00预报,33811.39350718519,33811.39350718519,0.0,13930.191749599637,0.0,0.0,13930.191749599637,0,0,0,0.0
2025-03-07,更新至6:00,33811.39350718519,33811.39350718519,0.0,13930.191749599637,0.0,0.0,13930.191749599637,0,1,0,0.0
2025-03-07,更新至12:00,33811.39350718519,33811.39350718519,0.0,13930.191749599637,0.0,0.0,13930.191749599637,0,2,0,0.0
2025-03-07,更新至18:00,33811.39350718519,33811.39350718519,0.0,13930.191749599637,0.0,0.0,13930.191749599637,0,3,0,0.0
2025-03-08,仅0:00预报,31626.47645586625,31626.47645586625,243.27766370833808,13199.394253327548,0.0,762.2368047406401,13961.631058068187,0,0,0,0.0
2025-03-08,更新至6:00,31626.47645586625,32009.879948741254,0.0,13199.394253327548,355.19020095981125,0.0,13554.584454287358,1,0,0,148.48983914848577
2025-03-08,更新至12:00,31626.47645586625,32043.978705942896,0.0,13199.394253327548,372.4475819795618,0.0,13571.84183530711,2,0,0,150.3831062587533
2025-03-08,更新至18:00,31626.47645586625,32009.879948741254,0.0,13199.394253327548,355.19020095981125,0.0,13554.584454287358,3,0,0,156.51557678842892
2025-03-09,仅0:00预报,75068.37376498466,75068.37376498466,0.0,47336.75495726976,0.0,0.0,47336.75495726976,0,0,0,0.0
2025-03-09,更新至6:00,75068.37376498466,75068.37376498466,0.0,47336.75495726976,0.0,0.0,47336.75495726976,0,1,0,0.0
2025-03-09,更新至12:00,75068.37376498466,75130.28388165134,0.0,47336.75495726976,90.42643229500155,0.0,47427.181389564765,1,1,0,21.038493686161928
2025-03-09,更新至18:00,75068.37376498466,75130.28388165134,0.0,47336.75495726976,90.42643229500155,0.0,47427.181389564765,1,2,0,21.038493686161928
2025-03-10,仅0:00预报,71949.46020348373,71949.46020348373,400.9451627525275,46920.746855603895,0.0,2021.0256671666532,48941.772522770545,0,0,0,0.0
2025-03-10,更新至6:00,71949.46020348373,73172.08381794926,34.98632916666281,46920.746855603895,1664.3041376798174,158.40107884373126,48743.452072127446,1,0,0,1410.3569042974168
2025-03-10,更新至12:00,71949.46020348373,73172.08381794926,34.98632916666281,46920.746855603895,1664.3041376798174,158.40107884373126,48743.452072127446,1,1,0,1410.3569042974168
2025-03-10,更新至18:00,71949.46020348373,73172.08381794926,34.98632916666281,46920.746855603895,1664.3041376798174,158.40107884373126,48743.452072127446,1,2,0,1410.3569042974168
2025-03-11,仅0:00预报,63675.63410877521,63675.63410877521,4229.35719816667,40170.06740759971,0.0,26595.407773727664,66765.47518132738,0,0,0,0.0
2025-03-11,更新至6:00,63675.63410877521,70999.12020424637,4.547473508864641e-13,40170.06740759971,7276.579382130512,1.5096475181053392e-12,47446.64678973022,1,0,0,13447.276371908218
2025-03-11,更新至12:00,63675.63410877521,69294.99665278345,1.0231815394945443e-12,40170.06740759971,5175.07277675946,4.379899110062979e-12,45345.140184359174,2,0,0,15367.525924330306
2025-03-11,更新至18:00,63675.63410877521,69294.99665278345,1.0231815394945443e-12,40170.06740759971,5175.07277675946,4.379899110062979e-12,45345.140184359174,2,1,0,15367.525924330306
2025-03-12,仅0:00预报,72088.49678445575,72088.49678445575,0.0,45919.663645254106,0.0,0.0,45919.663645254106,0,0,0,0.0
2025-03-12,更新至6:00,72088.49678445575,72088.49678445575,0.0,45919.663645254106,0.0,0.0,45919.663645254106,0,1,0,0.0
2025-03-12,更新至12:00,72088.49678445575,72088.49678445575,0.0,45919.663645254106,0.0,0.0,45919.663645254106,0,2,0,0.0
2025-03-12,更新至18:00,72088.49678445575,72088.49678445575,0.0,45919.663645254106,0.0,0.0,45919.663645254106,0,3,0,0.0
2025-03-13,仅0:00预报,72835.79309051903,72835.79309051903,45.59255662499277,47139.863271718554,0.0,264.8595441761617,47404.72281589472,0,0,0,0.0
2025-03-13,更新至6:00,72835.79309051903,73570.94271650973,30.751347999997847,47139.863271718554,802.8083518740776,188.15550338381956,48130.82712697645,1,0,0,419.21024778402534
2025-03-13,更新至12:00,72835.79309051903,73329.38847597787,45.59255662499277,47139.863271718554,554.6576834845146,264.8595441761617,47959.38049937924,2,0,0,606.2272409321267
2025-03-13,更新至18:00,72835.79309051903,73329.38847597787,45.59255662499277,47139.863271718554,554.6576834845146,264.8595441761617,47959.38049937924,2,1,0,606.2272409321267
2025-03-14,仅0:00预报,30618.580647666673,30618.580647666673,12.540704999998866,12033.922082241392,0.0,65.41858763249388,12099.340669873885,0,0,0,0.0
2025-03-14,更新至6:00,30618.580647666673,30900.86889645834,0.0,12033.922082241392,278.56396715445305,0.0,12312.486049395844,1,0,0,170.2336267521173
2025-03-14,更新至12:00,30618.580647666673,31405.465021128093,1.1368683772161603e-13,12033.922082241392,528.8336090593041,3.928448677470442e-13,12562.755691300696,2,0,0,201.71079700492328
2025-03-14,更新至18:00,30618.580647666673,30792.99450970834,1.1368683772161603e-13,12033.922082241392,172.13290426328572,3.928448677470442e-13,12206.054986504678,3,0,0,357.4676516467157
2025-03-15,仅0:00预报,31406.58000609929,31406.58000609929,153.43060308333185,13021.06419251738,0.0,457.86638575849526,13478.930578275877,0,0,0,0.0
2025-03-15,更新至6:00,31406.58000609929,31415.155547349288,144.8550618333333,13021.06419251738,7.3565280613112325,433.34462555412443,13461.765346132815,1,0,0,2.5395607857744835
2025-03-15,更新至12:00,31406.58000609929,31415.155547349288,144.8550618333333,13021.06419251738,7.3565280613112325,433.34462555412443,13461.765346132815,1,1,0,2.5395607857744835
2025-03-15,更新至18:00,31406.58000609929,31415.155547349288,144.8550618333333,13021.06419251738,7.3565280613112325,433.34462555412443,13461.765346132815,1,2,0,2.5395607857744835
2025-03-16,仅0:00预报,68089.57809111345,68089.57809111345,274.01218958332436,43365.838197053105,0.0,1410.5644992457856,44776.40269629889,0,0,0,0.0
2025-03-16,更新至6:00,68089.57809111345,70210.20866217747,0.33958333333339397,43365.838197053105,2211.7467083326906,1.6732968750002988,45579.2582022608,1,0,0,943.2516888030068
