日期,点预测负荷合计_kWh,点预测光伏合计_kWh,日类型_0低负载_1普通,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,实际结算总购电费_元,24:00储电量_kWh
2025-02-13,121363.85288333335,46489.576055555546,1,81057.1521930119,,0.0,53907.10556861335,10605.905343949442
2025-02-14,77250.70186713914,47432.86864444444,0,36328.34918718613,,0.0,19058.33058546955,10355.176166480469
2025-02-15,75872.63794999999,47382.91919444445,0,35821.391656526044,,0.0,18713.778034028925,9684.29902483438
2025-02-16,119698.8310443424,47608.70066111111,1,77027.6048660145,,2580.869336705223,62792.699666425295,9635.718047884086
2025-02-17,121276.97728333331,46248.29848888889,1,83230.5054826737,,0.0,51770.95259035016,10261.520361061122
2025-02-18,120960.37281666664,47483.52299444444,1,78874.2663630713,,9.81642015399325,49131.3983453153,10707.029450325324
2025-02-19,121331.27123333333,48305.33042777777,1,76669.47683307361,,496.04781676276644,50873.05201330443,9759.11227683776
2025-02-20,121866.79411666666,49334.619944444436,1,78366.56911730111,,7.216054377917203,48695.83034429781,10288.176271494423
2025-02-21,76419.4703976089,49446.4911611111,0,35525.2115146405,,0.0,18463.94529456117,10529.907800266703
2025-02-22,75802.00203333332,49780.443344444444,0,34589.13454387184,,0.0,17965.096017505457,9826.927009484156
2025-02-23,120697.81998232861,49397.114227777776,1,76670.8856262358,,0.0,47315.14745485486,9723.579728450315
2025-02-24,121142.14093333334,49229.835544444446,1,76905.97394431436,,0.0,47672.526688927224,10093.611868049722
2025-02-25,120628.98855,49957.90718888889,1,77451.02079297267,,21.25951816542829,48301.6385307077,10645.554037842243
2025-02-26,121093.33288333332,52436.08394444444,1,71659.13529391482,,709.8176573086731,48607.4826994055,10070.463119627222
2025-02-27,121060.73411666667,53314.61688888888,1,73767.17313809054,,678.4253312450583,48524.35788102489,10163.758169723074
2025-02-28,75548.43063537288,53720.26682222221,0,34230.78782112972,,0.0,17684.318861458447,10278.466478849852
2025-03-01,75385.10795,52660.435072222215,0,33825.27093073778,,0.0,17497.601775016134,9866.389227978532
2025-03-02,115464.9372243811,51440.27111666667,1,69600.4102150904,,6070.499614290298,75965.86001298385,9438.364915251508
2025-03-03,117860.41708333332,48726.672877777775,1,75531.18405156684,,1027.6365384060814,53093.016654826744,8998.992836120728
2025-03-04,117958.74559999998,46676.36773333333,1,80848.2137099255,,0.0,50067.75275131724,10557.197650602393
2025-03-05,118139.02498333332,46794.42534444444,1,74058.04604517826,,3.814107845033959,46045.34175167673,10780.642741370604
2025-03-06,118073.44383333332,48941.37927777777,1,73240.78444742862,,0.0,45275.451034683545,10124.643454903677
2025-03-07,73577.13353534802,50871.82776111111,0,32811.41649544757,,0.0,16863.484899123905,10006.647601126151
2025-03-08,71680.36145,51477.997383333335,0,31063.50915692622,,319.850164733042,17467.97679101348,9656.25937342211
2025-03-09,115767.69058392133,51924.197466666665,1,68935.73479166995,,713.9635783539763,45592.75498375226,9779.806272059102
2025-03-10,117692.98650000003,52799.703144444444,1,73001.26883233848,,189.03272828474414,46737.45815356337,10656.186954568879
2025-03-11,117943.06436666666,52514.00881111111,1,72864.48975872545,,0.0,44738.532013655975,10760.443617199213
2025-03-12,117499.55295,52607.02950555555,1,66623.73419897216,,156.4919728839468,41805.46887553712,9845.21156444731
2025-03-13,118112.23683333333,53046.10973888888,1,67764.36462659788,,3586.090540583675,62654.96421021453,9904.837902875593
2025-03-14,73775.50069415063,53309.66511111111,0,32272.11102902102,,0.0,16813.649011057438,10691.09228869936
2025-03-15,72108.86895,54149.26805,0,30039.45311609598,,363.8440995662951,16849.637634496547,9553.194480900594
2025-03-16,116553.64909307825,52857.31954444444,1,69798.03420171555,,645.933143107949,46617.71055206698,9754.21415716461
2025-03-17,117983.21598333333,54170.82288333333,1,69852.39010481744,,0.0,42559.61336379139,10532.261549732037
2025-03-18,117693.62179999996,55422.83868333333,1,70074.64964359983,,0.0,43727.28934169862,10608.105902040123
2025-03-19,117253.42358333332,56865.04154444444,1,64118.22347876512,,65.23359675322263,39664.644321971224,10405.38658971053
2025-03-20,117281.55799999999,57926.34771111111,1,61828.33713717783,,3587.01319326133,59435.7182316371,10024.769354529193
2025-03-21,73007.42421987365,56460.99089444445,0,31418.334532611312,,0.0,16270.357784191025,10412.642756647225
2025-03-22,72593.53221666666,57938.525055555554,0,29694.710094243746,,0.0,15124.952466252587,9893.146232965937
2025-03-23,116644.48661827057,57351.73913888888,1,65318.704815817444,,115.8530073850882,40277.67431377949,9858.58193414618
2025-03-24,117739.97726666665,58528.68488333333,1,65141.41767743859,,0.0,39449.689901765385,9974.17836480401
2025-03-25,117425.17061666667,58150.88682777777,1,65798.2284955652,,100.49871115344152,41373.53895861836,10132.412388979481
2025-03-26,118053.16781666668,58499.99126111111,1,66306.80065030024,,0.0,40403.506353676225,10450.098935548296
2025-03-27,117704.62779999997,59547.263188888886,1,60378.541393690335,,1873.2768633946002,48512.31881815984,9911.758543761818
2025-03-28,72605.13061487368,59483.575,0,30560.262094163714,,0.0,15598.805532062077,10520.131748517873
2025-03-29,71891.76726666666,60805.856133333335,0,28804.764152444106,,199.5378292785873,15588.45384885381,9671.437279422804
2025-03-30,117489.71639827373,61572.18791666666,1,61699.64740919503,,0.0,37062.04832352248,9925.432306776975
2025-03-31,117994.70585,62710.01364444444,1,61225.18040404194,,820.1624995555455,42481.22350477509,10256.095717501157
2025-04-01,117075.66561666667,62394.81018888889,1,62602.20002395159,,642.7501311828464,42876.5523918214,9463.547179066774
2025-04-02,117967.1463,60177.21902222221,1,66585.40817604898,,1929.4126306593616,49450.31419480768,10241.599444435029
2025-04-03,117986.62944999998,58477.95498888889,1,62679.83111110517,,0.0,38253.18242979671,9889.06743499159
2025-04-04,72154.81909628396,59110.17155555556,0,29425.416773598514,,0.0,14737.466402452843,10562.25541422366
2025-04-05,71735.75181666667,61625.72315,0,28471.85343102437,,0.0,14298.787133088026,9788.396963385265
2025-04-06,118808.5348556149,62628.1676611111,1,61047.95930812373,,0.0,37017.39839623565,10363.705557879144
2025-04-07,117205.43058333333,62886.31048888889,1,59649.43625713825,,0.0,35764.26500170703,10272.779653148884
2025-04-08,117015.14203333332,62375.46821666667,1,59333.92442464284,,411.35077555755754,38212.93143744085,9886.702348035202
2025-04-09,117713.29026666665,63309.29123888888,1,62890.50605521206,,914.6099953595833,43771.702127109544,9997.313668440947
2025-04-10,117677.52253333332,61891.910305555546,1,63329.97283844676,,261.112735554693,39446.816813101446,10083.678563739388
2025-04-11,71906.20096652472,61703.79031666666,0,28761.8375224075,,0.0,14428.316680858414,10390.945985016628
2025-04-12,72091.99675000002,62842.20696111111,0,28432.695259076543,,0.0,14230.389839838155,10276.1215768345
2025-04-13,117589.79943543582,64305.14152777777,1,57789.78490310327,,184.7386883472961,36152.18380332826,9921.5286770818
2025-04-14,117283.06219999999,64238.02183888889,1,58949.275588698714,,0.0,35180.47902490004,10321.67583690266
2025-04-15,117901.37268333332,63770.68660555555,1,57360.33349518897,,0.0,34338.56128871246,10100.744351749872
2025-04-16,117056.90516666666,65099.17364444444,1,56688.35861726217,,2250.7558204151987,47786.39378334282,9775.648079545457
2025-04-17,117924.88506666667,64812.03677777778,1,62057.66549429386,,162.74353220581685,37707.835565369496,10173.503984358029
2025-04-18,71894.29540369632,64560.48991111111,0,27759.32813684444,,0.0,13737.571273536236,10769.311410585748
2025-04-19,71490.16935000001,63966.68185555555,0,26870.44557451346,,0.0,13261.99708116877,10180.491315350446
2025-04-20,117505.2144451318,64958.49618333333,1,55447.892718723306,,235.98461862732847,34723.542370932395,9844.944199283813
2025-04-21,117197.81635000001,65165.619911111105,1,57652.484917352456,,4.147051705705348,34481.04623841694,9843.986730936205
2025-04-22,118481.63788333331,66775.17835555554,1,55314.07556389361,,951.1121950166973,38992.910559703014,9915.2833764338
2025-04-23,117811.00101666666,66954.29022222222,1,55216.92083147162,,285.1424878071872,34739.243352038924,10067.35556554061
2025-04-24,118030.51476666669,67417.79908333335,1,58054.52957270938,,0.0,34443.056781794614,10340.888648712684
2025-04-25,71900.8657575747,67565.44757222221,0,26559.336361157566,,0.0,12836.301265660866,10131.74969063889
2025-04-26,71763.3212,68933.74485555556,0,26265.68144883664,,213.3784525198791,13704.991825765417,9482.943679312451
2025-04-27,117987.3498287389,70733.78908333334,1,53160.01135841997,,274.0718553575499,33821.42747405296,9914.566701367316
2025-04-28,117032.52253333335,70084.24854444445,1,53415.86408454672,,6032.926985932758,70658.31961160954,9962.080257783246
2025-04-29,117537.3008,67135.03852222222,1,57164.0113030689,,222.83192309048843,35568.43005684661,10154.591335285086
2025-04-30,117252.75871666666,66397.97661111111,1,54827.54583705349,,0.0,33037.631130165646,9965.094610326234
2025-05-01,117682.88071666664,66720.30158888889,1,56104.54704176384,,1778.7429331949866,44700.067355988744,9356.795102085958
2025-05-02,73655.16024822174,69532.92546666667,0,28662.530129805265,,0.0,15521.294089197845,8080.096272180989
2025-05-03,74761.02673333333,66416.64601666665,0,31061.579644454163,,0.0,16844.159234494822,9288.441215361208
2025-05-04,122157.32007806256,65283.863133333325,1,61346.691809297015,,0.0,37744.24271919822,9879.185750511671
2025-05-05,120670.08423333333,65144.60039444444,1,60908.191596826495,,0.0,37312.01052235537,10034.55229075872
2025-05-06,120612.16386666667,66833.08386666665,1,60967.87507339209,,0.0,37047.24040761514,9998.602540406246
2025-05-07,121017.19009999999,67539.56056666665,1,56885.07338283323,,1958.2814725333556,46364.34947831523,10028.62314216641
2025-05-08,121160.21501666667,66591.87795555557,1,60043.84741346936,,35.999250000000075,37266.28438489365,10205.096371012025
2025-05-09,73897.7037077393,66286.14726111111,0,28584.871550714794,,0.0,16113.110073884965,10127.529507631982
2025-05-10,74253.82545,65488.59121666665,0,29410.16278573452,,0.0,16543.71745837984,10019.24111996527
2025-05-11,121417.12023469122,64300.11545,1,62068.50416930071,,23.096053103013446,38518.840250218374,10373.791142488986
2025-05-12,120743.09041666667,64513.464233333325,1,58850.09045921795,,0.0,36469.67578325182,10463.080646153501
2025-05-13,120448.60361666666,65434.453827777776,1,59400.61414625369,,0.0,36469.061438104145,10270.778491757044
2025-05-14,120269.63160000001,66972.27951666666,1,58688.651870962734,,111.52189400142859,36192.47246815074,9778.527105703495
2025-05-15,120592.00526666665,67745.2279,1,57231.52819755594,,0.0,35275.68925943311,10112.251085066235
2025-05-16,73529.77129699363,67183.84228333333,0,27535.836450138682,,18.708559476851566,13993.134728793713,9635.70040864255
2025-05-17,74681.34474999999,68792.3154111111,0,29512.98500510399,,0.0,16627.344019481516,9992.812466965399
2025-05-18,122142.48569077764,67874.94036666666,1,63712.42011526751,,0.0,39863.32393310944,10716.908010995327
2025-05-19,120687.037,67934.14615555554,1,55567.09314958537,,62.267254388493484,35094.73090930344,10690.512468158036
2025-05-20,120072.38798333332,68131.25722777778,1,54929.51046262232,,1892.0034938030124,44668.89353633029,9766.18733677596
2025-05-21,120437.57771666668,68492.74107777777,1,59538.581771674406,,422.45402695350185,38648.71155527128,9868.732590036963
2025-05-22,120283.05128333333,69129.26344444446,1,55488.8906076946,,0.0,34425.94112425357,10399.141936853748
2025-05-23,73916.92581833032,67914.55603333333,0,27508.816334175797,,356.6447772366609,15742.079679630006,10266.2551975107
2025-05-24,74983.38438333332,68798.64023333332,0,28359.857103095906,,0.0,16176.975486155567,10476.052208969977
2025-05-25,120581.47265921532,69471.60037777777,1,61538.48996972788,,0.0,38510.63920860274,10800.0
2025-05-26,120319.8776,70425.53978333333,1,54786.464997604286,,1789.8184867059078,45953.269340003804,9574.866084518007
2025-05-27,119407.96936666666,69180.77342222222,1,56281.80772697116,,0.0,34442.90838525383,9918.418154413735
2025-05-28,120046.82734999998,69086.4879611111,1,58717.56668773931,,0.0,35607.46897364593,10220.330076779996
2025-05-29,119921.84721666665,67710.87319444443,1,55207.111451256365,,2296.208589708895,48889.96560507844,9967.66785120193
2025-05-30,74759.79125713263,68211.22464444445,0,28350.072386679607,,0.0,14557.388445231283,10033.710964040956
2025-05-31,74612.22448333332,67331.06836666667,0,28541.22265407908,,0.0,16058.676065950069,10083.441571331157
2025-06-01,120469.18466324826,66911.44433888889,1,60820.86765805225,,10778.957520958378,99683.07022340511,8003.178262235176
2025-06-02,128248.56003333331,63809.62532777777,1,75251.67710464748,,0.0,49236.875047408845,9174.294969019913
2025-06-03,128080.53698333334,60950.871433333334,1,75609.5649106052,,142.41339987739264,48675.27092266017,9807.879791774436
2025-06-04,128076.84056666665,58782.64566666666,1,73861.61021659747,,41.11654541558728,46178.802719429725,9942.784066347978
2025-06-05,128539.84358333334,59406.2620111111,1,74952.78612133408,,504.7292660059578,50375.39523240948,9804.507761239596
2025-06-06,79735.9057817274,58695.21971666667,0,32655.28600403078,,3405.212258446397,38642.529360548106,8968.021573147485
2025-06-07,82747.41500000001,56031.20167222222,0,37659.56557148509,,0.0,22785.764846613434,8928.73520786227
2025-06-08,133966.97546252725,53743.08961111111,1,88271.65700870156,,0.0,56239.280742461895,10800.0
2025-06-09,128266.94665000003,55668.22985555556,1,80328.08673562799,,0.0,53118.00356498071,9182.84797609105
2025-06-10,128169.18798333331,57449.58173888888,1,77199.37413640003,,1.0646479155801671,48718.20161200751,10087.439396002177
2025-06-11,127414.49178333333,58704.848727777775,1,75297.20182570184,,5598.959158225804,76454.29903480678,9925.172614547319
2025-06-12,128236.67731666667,55061.5846,1,79762.4932405603,,0.0,51400.22492427918,10536.031176027624
2025-06-13,79475.3461151361,54405.90003333333,0,33911.84929434706,,781.6267470659126,24205.069136076716,9428.898057448272
2025-06-14,81889.59039999999,53655.30974999999,0,39481.809179724696,,0.0,24468.56577366391,9837.932005471697
2025-06-15,131799.97193178223,54957.83753888888,1,83590.36132581349,,0.0,53145.14145979847,10800.0
2025-06-16,127368.88451666664,55448.667083333334,1,76271.59600461955,,64.78726540318337,48311.24674412224,9429.06438215693
2025-06-17,127618.63201666667,55908.767916666664,1,78988.55938383401,,0.0,52121.6606817822,9457.939750925088
2025-06-18,127311.75459999997,54780.41092222222,1,81367.37408888861,,0.0,51772.42327711489,10800.0
2025-06-19,126909.07891666664,54526.67019999999,1,78825.36962843628,,37.31023622195323,51070.620927008546,10406.006154450202
2025-06-20,79638.10532507906,55914.99803333332,0,34025.528582634,,0.0,19386.4921853626,9768.77683254061
2025-06-21,81137.07971666666,57935.58319444444,0,35344.3093850819,,141.6298007329271,21108.96780166949,10567.26303124401
2025-06-22,128876.58514002735,59966.46198888889,1,75320.20773750998,,0.0,49520.95685590395,10800.0
2025-06-23,126539.46191666664,59963.98136111111,1,70881.95693934482,,0.0,44702.17079378302,8924.18088941956
2025-06-24,126690.87308333331,60261.67743333333,1,73496.53373422503,,4369.5314990935385,71472.07743507135,7216.665044207381
2025-06-25,127112.84501666667,56518.58688888888,1,83574.57433714459,,7.9940123595080195,53066.03079831998,10748.243672006056
2025-06-26,126310.40843333332,55448.87563888889,1,75154.71557753987,,74.94634027765528,47294.232964318006,10295.747932792121
2025-06-27,80976.96080284464,55289.03378888888,0,35693.57931120628,,0.0,19586.417192717105,10165.301659738307
2025-06-28,79563.255,58271.55257777777,0,32988.708617644115,,0.0,18304.158485792563,9485.234851647638
2025-06-29,126203.98582133996,59275.43911666666,1,75680.41438913859,,0.0,49597.638880502855,10371.090539487268
2025-06-30,126384.8087166667,58597.76533333333,1,73918.56416288983,,42.884165439687536,46907.02577447304,9974.48391825733
2025-07-01,125947.32058333335,57357.10782222222,1,75430.16216791696,,3051.051819427803,68546.22905574273,5279.667508012777
2025-07-02,141546.85106666666,58622.327938888884,1,98970.69121448538,,0.0,64666.772649748666,10395.357795862823
2025-07-03,141198.65821666666,62347.94516111111,1,84086.4763333718,,17.015790889705272,53677.32426737166,9956.927480970446
2025-07-04,90557.67484354285,64259.77286111111,0,39023.79398715928,,2533.7272218921366,35681.814704256205,9055.288786672578
2025-07-05,95795.06574999998,65671.06994444445,0,43993.2323073608,,0.0,26650.877235130807,9685.701900089527
2025-07-06,149277.0463798549,65267.35763888889,1,93074.29906223269,,0.0,62226.247627518984,10800.0
2025-07-07,141244.57465,65149.182105555556,1,80979.21960997439,,0.0,52289.818055492775,9101.07265550334
2025-07-08,141495.39415,65539.75313888889,1,79797.27927923872,,2429.4433398022456,63858.75496667331,9711.959215703395
2025-07-09,141285.227,65083.44815555556,1,82552.49368034248,,0.0,54205.88869850578,10800.0
2025-07-10,140590.70496666664,66777.24377222222,1,80678.73989193907,,24.140691654012812,51976.65179641868,9938.727452041863
2025-07-11,90424.1624547999,66618.5796,0,40004.50323910595,,2004.5715203752245,32204.545684195138,9294.58160922156
2025-07-12,94741.08840000001,65454.73668888888,0,45088.10593028184,,0.0,27071.38059757354,9785.634322474813
2025-07-13,147880.62339884476,64688.78596111111,1,89695.86522959579,,0.0,57932.870182913946,10800.0
2025-07-14,139893.36648333335,65694.02836666667,1,75383.88516950277,,350.98800772720847,50713.50045676066,8937.789915151307
2025-07-15,141062.42346666666,68038.1727,1,76243.12772919552,,961.4835096467485,55045.789291644265,9473.07316794974
2025-07-16,139545.16266666667,68892.16747222222,1,76668.1411539125,,256.5218698208514,50258.568062717524,9790.850147257432
2025-07-17,140365.26538333332,68093.85277777776,1,83137.88817588275,,0.0,54763.39310604597,10645.117596970482
2025-07-18,89961.10925772376,67291.85243333333,0,39232.49575783524,,1204.1795140506083,28846.670814042416,9478.5023734511
2025-07-19,93698.0732,65834.42343888889,0,44204.75887386216,,0.0,26026.12561860817,9834.701884867973
2025-07-20,143619.37057890103,65551.4238888889,1,83306.37149983438,,0.0,54355.596464469694,10800.0
2025-07-21,138750.53876666666,65488.696333333326,1,74331.34901753656,,1333.643365849095,56590.311596113905,8806.905483497776
2025-07-22,138442.8198,66165.11145,1,77617.4886286916,,1285.8304911321247,57397.94290833804,8739.98017320485
2025-07-23,139514.85881666664,65611.11506666667,1,80965.0699338892,,178.51949058998616,51944.96497225755,9828.550497550592
2025-07-24,139450.03365,65135.42372777777,1,85611.7529825543,,0.0,56445.46548990054,10800.0
2025-07-25,93468.90493944267,65412.982083333336,0,41303.544603044065,,8.016091808783495,24336.281888023106,9928.004992726239
2025-07-26,92354.83968333332,65456.25072222222,0,42857.83442380029,,0.0,25223.678231915277,10120.958004783188
2025-07-27,138484.30967905093,65284.62133333333,1,80464.49656992048,,0.0,51794.80164753435,10539.776419940621
2025-07-28,138110.19628333335,64997.70832222222,1,77243.76327361807,,3371.920324041881,69327.32552184378,9528.19918302794
2025-07-29,138228.99843333333,63139.24201666666,1,81906.3866415488,,189.3480499752004,52960.12220319929,9121.867106513235
2025-07-30,138314.74511666663,62314.875616666664,1,82708.74171811927,,0.0,51965.635703645064,10011.789464576821
2025-07-31,138424.36443333334,62280.24358333333,1,81591.56100890823,,0.0,53627.184368087954,10350.600785744136
2025-08-01,92707.3559367738,63098.308999999994,0,41411.063936809915,,0.0,24217.630235152243,10188.469816255069
2025-08-02,92719.42409999999,66172.49742222222,0,41094.80806018502,,0.0,24274.100754676892,10262.181682275612
2025-08-03,135704.6947929708,68277.20038888889,1,78681.27021591233,,0.0,50303.735054358214,9394.216643949761
2025-08-04,138062.48614999995,72442.09662777778,1,71551.71084829429,,0.0,45971.63901125378,10544.5948555639
2025-08-05,138312.10695,72918.22577222221,1,68879.18079918393,,30.706396347262057,44879.90648504312,9389.774306884514
2025-08-06,136458.49728333333,73141.8818611111,1,68515.06072155226,,3629.84014548826,62197.90048765567,9943.744564315542
2025-08-07,136716.08779999998,70934.77598333333,1,72657.40681169473,,88.83991436033546,46762.64400669085,9945.160230564408
2025-08-08,92335.50998974769,71123.54843333333,0,41226.88767583201,,0.0,24015.971410816754,10232.662529230089
2025-08-09,90703.21611666668,72330.83420555555,0,39496.13067508401,,0.0,23066.94209995441,9337.576867726877
2025-08-10,133863.9535929953,73257.57227777777,1,72989.68080576361,,287.0310089294761,47835.58418148162,9393.699406248426
2025-08-11,136535.44471666665,72513.59109444445,1,71060.02940144618,,46.356771911936335,45819.65952432323,10615.934698799643
2025-08-12,136422.26351666663,71491.2462,1,67586.68813186322,,2225.174874918458,57042.59675722828,9188.749079116627
2025-08-13,136637.5967,70656.2963,1,74689.03657410073,,0.0,47532.16371151524,10714.082229576852
2025-08-14,136547.99718333333,70388.36032222223,1,70898.76730017176,,221.41252819320073,46893.85023873302,9962.342053700719
2025-08-15,91472.9402025942,69771.27838888888,0,41023.677319712944,,0.0,24003.246112533576,10340.560080344272
2025-08-16,89968.05776666666,71081.70433333333,0,39725.983096856886,,88.68705974574823,23719.541961247614,9556.024159498169
2025-08-17,134983.72031089297,72024.11508333334,1,70156.32401898016,,81.51433219851492,45653.93700435374,9737.883890030289
2025-08-18,135369.1165,72755.43458333334,1,69162.82610330216,,215.55654269665706,45988.59654421463,10413.39583690131
2025-08-19,135710.17471666663,72258.01065555555,1,67277.46207917748,,72.74698079480174,44392.79671930217,9188.142729166035
2025-08-20,135364.48288333334,71522.20160555554,1,72518.97023408586,,3108.6387737638734,64370.03377637122,10190.860656519259
2025-08-21,135048.05366666667,68920.08151111112,1,72213.93139491405,,63.83334124696023,46599.593455899805,9976.83215230184
2025-08-22,89830.14380801725,68190.52195,0,40907.37014821572,,351.1980412577751,26230.81105169597,9826.649453402366
2025-08-23,90531.7304,67608.63467222222,0,41851.81937103509,,0.0,24578.200852929665,10128.784550315057
2025-08-24,134771.96707135695,68531.89383333334,1,68346.28972039466,,432.2840817809669,46780.41931210476,9576.717807580782
2025-08-25,135068.0714,69267.59433333333,1,70659.54168782783,,3799.7720614919326,68113.62079960533,9870.618717700338
2025-08-26,134511.61375,67413.38291111111,1,75547.38376907213,,14.915445617438422,48728.56908492057,10800.0
2025-08-27,134368.96393333335,67971.0514,1,72787.02803095957,,0.0,46787.58520459313,10212.622132062057
2025-08-28,133788.3821,66150.96850555555,1,75280.73871673575,,35.62173271879476,48748.68179003921,9851.56196927393
2025-08-29,89402.96999788405,66163.46678888888,0,41969.04643728533,,0.0,24810.34741478302,10222.367050685769
2025-08-30,88328.33254999999,65141.122338888876,0,41553.74158945498,,0.0,24612.003692753293,9762.701216306757
2025-08-31,134146.41672337503,66687.16717777777,1,69881.83979616464,,799.1766951870125,50335.95980533204,9867.791010044202
2025-09-01,133365.35983333332,67668.07223333334,1,69440.4758107244,,0.0,44842.49025788107,10800.0
2025-09-02,121263.61926666666,68306.86307777777,1,55392.998200747126,,0.0,36572.441258720464,7341.735688050429
2025-09-03,121532.82414999999,67294.42992777778,1,62403.901383970915,,714.5765670330264,42934.497264653015,9793.40647266834
2025-09-04,121433.71643333333,67016.85073888888,1,60276.62236805323,,348.5122213991169,40142.655642239086,10094.864390356925
2025-09-05,80341.18089384334,66832.22498888889,0,36705.22410436943,,0.0,21199.781305993925,10800.0
2025-09-06,75132.98044999999,67110.10848333333,0,30350.42777951019,,510.322134210177,19369.328741223442,9170.67501161222
2025-09-07,114370.01414771558,67849.87224444444,1,55193.08381377378,,3315.601786667468,54542.129222465235,9267.173851913509
2025-09-08,120781.00903333334,67411.34488888888,1,63014.95781246849,,1402.73450228828,47773.797450493104,9551.77018022138
