日期,时段序号,时段,电价_元每kWh,小区负载_kW,光伏实际功率_kW,净负荷_kW,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,时段末储电量_kWh,计划购电费_元,紧急购电费_元
2025-01-01,15,2:20-2:30,0.4367,4234.62,0.0,4234.62,705.77,0.0,0.0,0.0,0.0,10050.0,308.20975899999996,0.0
2025-01-01,16,2:30-2:40,0.4348,4109.9755,0.0,4109.9755,684.9959166666665,0.0,0.0,0.0,0.0,10050.0,297.8362245666666,0.0
2025-01-01,17,2:40-2:50,0.4335,3996.8944999999994,0.0,3996.8944999999994,666.1490833333332,0.0,0.0,0.0,0.0,10050.0,288.77562762499997,0.0
2025-01-01,18,2:50-3:00,0.4357,4102.19,0.0,4102.19,683.6983333333333,0.0,0.0,0.0,0.0,10050.0,297.88736383333327,0.0
2025-01-01,19,3:00-3:10,0.4374,4086.0577,0.0,4086.0577,681.0096166666666,0.0,0.0,0.0,0.0,10050.0,297.87360633,0.0
2025-01-01,20,3:10-3:20,0.4371,4133.7626,0.0,4133.7626,688.9604333333333,0.0,0.0,0.0,0.0,10050.0,301.14460541,0.0
2025-01-01,21,3:20-3:30,0.4356,4179.18,0.0,4179.18,696.53,0.0,0.0,0.0,0.0,10050.0,303.40846799999997,0.0
2025-01-01,22,3:30-3:40,0.4353,3953.3711,0.0,3953.3711,658.8951833333333,0.0,0.0,0.0,0.0,10050.0,286.817073305,0.0
2025-01-01,23,3:40-3:50,0.436,3910.7496,0.0,3910.7496,651.7916,0.0,0.0,0.0,0.0,10050.0,284.1811376,0.0
2025-01-01,24,3:50-4:00,0.4378,4099.31,0.0,4099.31,683.2183333333334,0.0,0.0,0.0,0.0,10050.0,299.11298633333337,0.0
2025-01-01,25,4:00-4:10,0.4401,4123.8623,0.0,4123.8623,687.3103833333332,0.0,0.0,0.0,0.0,10050.0,302.48529970499993,0.0
2025-01-01,26,4:10-4:20,0.4389,4169.0068,0.0,4169.0068,694.8344666666667,0.0,0.0,0.0,0.0,10050.0,304.96284742,0.0
2025-01-01,27,4:20-4:30,0.4364,4260.24,0.0,4260.24,710.04,0.0,0.0,0.0,0.0,10050.0,309.861456,0.0
2025-01-01,28,4:30-4:40,0.4393,4217.2222,0.0,4217.2222,702.8703666666667,0.0,0.0,0.0,0.0,10050.0,308.7709520766667,0.0
2025-01-01,29,4:40-4:50,0.4422,4261.857,0.0,4261.857,710.3095,0.0,0.0,0.0,0.0,10050.0,314.0988609,0.0
2025-01-01,30,4:50-5:00,0.4395,4341.9,0.0,4341.9,723.6499999999999,0.0,0.0,0.0,0.0,10050.0,318.04417499999994,0.0
2025-01-01,31,5:00-5:10,0.4333,4208.2208,0.0021,4208.2187,701.3697833333333,0.0,0.0,0.0,0.0,10050.0,303.90352711833333,0.0
2025-01-01,32,5:10-5:20,0.4439,4302.1233,0.0,4302.1233,717.02055,0.0,0.0,0.0,0.0,10050.0,318.285422145,0.0
2025-01-01,33,5:20-5:30,0.4301,4456.59,0.0,4456.59,742.765,0.0,0.0,0.0,0.0,10050.0,319.46322649999996,0.0
2025-01-01,34,5:30-5:40,0.3713,4148.637,0.029899999999999996,4148.6071,1524.7678499999997,0.0,833.3333333333333,0.0,0.0,10800.0,566.1463027049999,0.0
2025-01-01,35,5:40-5:50,0.5708,4498.1333,0.0,4498.1333,749.6888833333334,0.0,0.0,0.0,0.0,10800.0,427.9224146066667,0.0
2025-01-01,36,5:50-6:00,0.9099,5369.38,0.0,5369.38,894.8966666666666,0.0,0.0,0.0,0.0,10800.0,814.266477,0.0
2025-01-01,37,6:00-6:10,0.9368,5440.8991,0.4169,5440.4821999999995,231.7470333333332,0.0,0.0,675.0,0.0,10050.0,217.10062082666653,0.0
2025-01-01,38,6:10-6:20,0.8758,5316.893,0.0,5316.893,886.1488333333333,0.0,0.0,0.0,0.0,10050.0,776.0891482333333,0.0
2025-01-01,39,6:20-6:30,0.8759,5399.82,0.0,5399.82,899.9699999999999,0.0,0.0,0.0,0.0,10050.0,788.2837229999999,0.0
2025-01-01,40,6:30-6:40,0.8601,5447.4007,5.8062,5441.5945,906.9324166666667,0.0,0.0,0.0,0.0,10050.0,780.052571575,0.0
2025-01-01,41,6:40-6:50,0.8442,5444.401,0.0,5444.401,907.4001666666666,0.0,0.0,0.0,0.0,10050.0,766.0272206999998,0.0
2025-01-01,42,6:50-7:00,0.8334,5433.63,3.0749999999999997,5430.555,905.0925,0.0,0.0,0.0,0.0,10050.0,754.3040895,0.0
2025-01-01,43,7:00-7:10,0.8092,5449.2818,175.7953,5273.4865,878.9144166666666,0.0,0.0,0.0,0.0,10050.0,711.2175459666666,0.0
2025-01-01,44,7:10-7:20,0.7972,5510.0042,421.496,5088.5082,848.0847,0.0,0.0,0.0,0.0,10050.0,676.09312284,0.0
2025-01-01,45,7:20-7:30,0.7644,5476.0,677.1,4798.9,799.8166666666666,0.0,0.0,0.0,0.0,10050.0,611.3798599999999,0.0
2025-01-01,46,7:30-7:40,0.6899,5329.4215,950.8111999999999,4378.610300000001,1563.1017166666666,0.0,833.3333333333333,0.0,0.0,10800.0,1078.3838743283331,0.0
2025-01-01,47,7:40-7:50,0.86,6084.1163,1255.5705,4828.5458,804.7576333333333,0.0,0.0,0.0,0.0,10800.0,692.0915646666666,0.0
2025-01-01,48,7:50-8:00,1.1617,7316.0,1592.2875,5723.712500000001,120.61875000000009,0.0,0.0,833.3333333333333,0.0,9874.074074074075,140.1228018750001,0.0
2025-01-01,49,8:00-8:10,1.1683,7469.4947,1937.5212,5531.9735,88.66225000000009,0.0,0.0,833.3333333333333,0.0,8948.14814814815,103.58410667500009,0.0
2025-01-01,50,8:10-8:20,1.0956,7225.691,2225.1261,5000.5649,0.09415000000001328,0.0,0.0,833.3333333333333,0.0,8022.2222222222235,0.10315074000001453,0.0
2025-01-01,51,8:20-8:30,1.0849,7216.13,2490.1125,4726.0175,0.0,0.0,0.0,787.6695833333333,0.0,7147.033796296298,0.0,0.0
2025-01-01,52,8:30-8:40,1.061,7361.7004,2826.3146,4535.3858,0.0,0.0,0.0,755.8976333333333,0.0,6307.147537037038,0.0,0.0
2025-01-01,53,8:40-8:50,1.043,7275.513,3122.1315,4153.3815,0.0,0.0,0.0,692.23025,0.0,5538.002814814816,0.0,0.0
2025-01-01,54,8:50-9:00,1.036,7077.289999999999,3350.9625,3726.3274999999994,0.0,0.0,0.0,621.0545833333332,0.0,4847.942166666668,0.0,0.0
2025-01-01,55,9:00-9:10,1.0147,7221.8762,3601.7977,3620.078499999999,0.0,0.0,0.0,603.3464166666665,0.0,4177.557259259261,0.0,0.0
2025-01-01,56,9:10-9:20,0.9922,7229.551299999999,3875.6352,3353.916099999999,0.0,0.0,0.0,558.9860166666665,0.0,3556.461685185187,0.0,0.0
2025-01-01,57,9:20-9:30,0.97,7099.33,4149.825,2949.505,0.0,0.0,0.0,491.58416666666665,0.0,3010.2570555555576,0.0,0.0
2025-01-01,58,9:30-9:40,0.9422,7297.1521,4403.4802,2893.6719,482.27864999999997,0.0,0.0,0.0,0.0,3010.2570555555576,454.40294403,0.0
2025-01-01,59,9:40-9:50,0.9569,7313.1756,4624.7505,2688.4251,106.53808333333143,0.0,0.0,341.5327666666685,0.0,2630.7762037037037,101.94629194166484,0.0
2025-01-01,60,9:50-10:00,0.9977,7099.46,4836.6375,2262.8225000000007,0.0,0.0,0.0,377.1370833333334,0.0,2211.7349999999997,0.0,0.0
2025-01-01,61,10:00-10:10,0.9919,7125.521399999999,5080.7024,2044.8189999999988,0.0,0.0,0.0,340.80316666666647,0.0,1833.0648148148148,0.0,0.0
2025-01-01,62,10:10-10:20,0.9588,7096.3104,5338.7528,1757.5575999999996,0.0,0.0,0.0,292.9262666666666,0.0,1507.5911851851852,0.0,0.0
2025-01-01,63,10:20-10:30,0.9549,6986.17,5494.725,1491.445,248.57416666666666,0.0,0.0,0.0,0.0,1507.5911851851852,237.36347174999997,0.0
2025-01-01,64,10:30-10:40,0.9839,7098.9702,5437.9778,1660.9923999999996,0.0,0.0,0.0,276.8320666666666,0.0,1200.0,0.0,0.0
2025-01-01,65,10:40-10:50,0.799,7193.993,5396.2126,1797.7804000000003,299.6300666666667,0.0,0.0,0.0,0.0,1200.0,239.40442326666673,0.0
2025-01-01,66,10:50-11:00,0.5025,7135.18,5372.1,1763.0800000000002,1127.1799999999998,0.0,833.3333333333333,0.0,0.0,1950.0,566.4079499999999,0.0
2025-01-01,67,11:00-11:10,0.4662,7042.947,5182.9722,1859.9747999999995,1143.3291333333332,0.0,833.3333333333333,0.0,0.0,2700.0,533.02004196,0.0
2025-01-01,68,11:10-11:20,0.5007,7069.1675,5131.5011,1937.6663999999992,1156.2777333333331,0.0,833.3333333333333,0.0,0.0,3450.0,578.94826108,0.0
2025-01-01,69,11:20-11:30,0.4827,7129.17,5294.775,1834.3950000000004,1139.0658333333333,0.0,833.3333333333333,0.0,0.0,4200.0,549.8270777500001,0.0
2025-01-01,70,11:30-11:40,0.4785,6971.0393,5434.7444,1536.2949000000003,1089.3824833333333,0.0,833.3333333333333,0.0,0.0,4950.0,521.269518275,0.0
2025-01-01,71,11:40-11:50,0.4662,6648.493699999999,5455.5011,1192.9925999999991,1032.165433333333,0.0,833.3333333333333,0.0,0.0,5700.0,481.1955250199999,0.0
2025-01-01,72,11:50-12:00,0.4432,6471.289999999999,5331.7125,1139.5774999999999,1023.2629166666666,0.0,833.3333333333333,0.0,0.0,6450.0,453.5101246666666,0.0
2025-01-01,73,12:00-12:10,0.4411,6681.1855,5126.6533,1554.5322,1092.4220333333333,0.0,833.3333333333333,0.0,0.0,7200.0,481.8673589033333,0.0
2025-01-01,74,12:10-12:20,0.4551,6585.2714,5118.4895,1466.7819000000002,1077.7969833333332,0.0,833.3333333333333,0.0,0.0,7950.0,490.5054071149999,0.0
2025-01-01,75,12:20-12:30,0.4463,6283.97,5302.575,981.3950000000007,996.8991666666667,0.0,833.3333333333333,0.0,0.0,8700.0,444.91609808333334,0.0
2025-01-01,76,12:30-12:40,0.4113,6547.9322,5399.7996,1148.1326000000004,1024.6887666666667,0.0,833.3333333333333,0.0,0.0,9450.0,421.45448973,0.0
2025-01-01,77,12:40-12:50,0.5682,6747.6789,5377.6488,1370.0301,1061.6716833333332,0.0,833.3333333333333,0.0,0.0,10200.0,603.24185047,0.0
2025-01-01,78,12:50-13:00,0.8279,6682.359999999999,5261.8125,1420.5474999999988,236.75791666666646,0.0,0.0,0.0,0.0,10200.0,196.01187920833314,0.0
2025-01-01,79,13:00-13:10,0.8636,6790.962799999999,5097.6164,1693.3463999999997,282.22439999999995,0.0,0.0,0.0,0.0,10200.0,243.72899183999996,0.0
2025-01-01,80,13:10-13:20,0.8416,6916.0165,5029.4534,1886.5630999999994,314.42718333333323,0.0,0.0,0.0,0.0,10200.0,264.6219174933332,0.0
2025-01-01,81,13:20-13:30,0.8618,6834.78,5043.8625,1790.9174999999996,298.4862499999999,0.0,0.0,0.0,0.0,10200.0,257.23545024999993,0.0
2025-01-01,82,13:30-13:40,0.8623,6546.5252,4973.5844,1572.9408000000005,262.1568000000001,0.0,0.0,0.0,0.0,10200.0,226.05780864000008,0.0
2025-01-01,83,13:40-13:50,0.9026,6539.872999999999,4769.7524,1770.1205999999984,295.02009999999973,0.0,0.0,0.0,0.0,10200.0,266.28514225999976,0.0
2025-01-01,84,13:50-14:00,0.9754,6773.969999999999,4478.625,2295.3449999999993,0.0,0.0,0.0,382.5574999999999,0.0,9774.936111111112,0.0,0.0
2025-01-01,85,14:00-14:10,1.0002,6736.8117,4209.3909,2527.4208000000003,0.0,0.0,0.0,421.2368,0.0,9306.895222222223,0.0,0.0
2025-01-01,86,14:10-14:20,0.9978,6623.3813,4060.4315999999994,2562.9497000000006,0.0,0.0,0.0,427.15828333333343,0.0,8832.274907407409,0.0,0.0
2025-01-01,87,14:20-14:30,1.0271,6548.979999999999,3934.4249999999997,2614.554999999999,0.0,0.0,0.0,435.7591666666665,0.0,8348.098055555558,0.0,0.0
2025-01-01,88,14:30-14:40,1.0906,6398.5627,3648.1228999999994,2750.439800000001,0.0,0.0,0.0,458.4066333333335,0.0,7838.757351851854,0.0,0.0
2025-01-01,89,14:40-14:50,0.9376,6196.5854,3431.0164,2765.5690000000004,0.0,0.0,0.0,460.9281666666667,0.0,7326.614944444446,0.0,0.0
2025-01-01,90,14:50-15:00,0.6694,6154.69,3327.3375,2827.3524999999995,1304.5587499999997,0.0,833.3333333333333,0.0,0.0,8076.614944444446,873.2716272499998,0.0
2025-01-01,91,15:00-15:10,0.66,6459.581799999999,3139.1175,3320.464299999999,1386.7440499999998,0.0,833.3333333333333,0.0,0.0,8826.614944444445,915.2510729999999,0.0
2025-01-01,92,15:10-15:20,0.7217,6622.885699999999,2860.4253,3762.4603999999995,1460.4100666666664,0.0,833.3333333333333,0.0,0.0,9576.614944444445,1053.9779451133331,0.0
2025-01-01,93,15:20-15:30,0.7308,6493.61,2505.0,3988.609999999999,1498.1016666666665,0.0,833.3333333333333,0.0,0.0,10326.614944444445,1094.812698,0.0
2025-01-01,94,15:30-15:40,0.7534,6375.0516,2089.695,4285.356599999999,1240.209495061727,0.0,525.9833950617273,0.0,0.0,10800.0,934.3738335795051,0.0
2025-01-01,95,15:40-15:50,0.7823,6354.113,1762.1561999999997,4591.956800000001,765.3261333333334,0.0,0.0,0.0,0.0,10800.0,598.7146341066667,0.0
2025-01-01,96,15:50-16:00,0.8055,6404.25,1525.8,4878.450000000001,813.075,0.0,0.0,0.0,0.0,10800.0,654.9319125000001,0.0
2025-01-01,97,16:00-16:10,0.8271,6444.971999999999,1249.2025,5195.769499999999,865.9615833333331,0.0,0.0,0.0,0.0,10800.0,716.2368255749998,0.0
2025-01-01,98,16:10-16:20,0.8519,6399.458599999999,968.2219,5431.2366999999995,905.2061166666665,0.0,0.0,0.0,0.0,10800.0,771.1450907883332,0.0
2025-01-01,99,16:20-16:30,0.8791,6292.15,706.6125,5585.5375,930.9229166666667,0.0,0.0,0.0,0.0,10800.0,818.3743360416667,0.0
2025-01-01,100,16:30-16:40,0.9024,6236.9153,440.4383,5796.477,966.0794999999999,0.0,0.0,0.0,0.0,10800.0,871.7901407999999,0.0
2025-01-01,101,16:40-16:50,0.9163,6299.943699999999,180.885,6119.058699999999,1019.8431166666664,0.0,0.0,0.0,0.0,10800.0,934.4822478016665,0.0
2025-01-01,102,16:50-17:00,0.9264,6389.0599999999995,2.9625,6386.097499999999,1064.3495833333332,0.0,0.0,0.0,0.0,10800.0,986.0134539999998,0.0
2025-01-01,103,17:00-17:10,0.9462,6325.183299999999,0.0,6325.183299999999,1054.1972166666665,0.0,0.0,0.0,0.0,10800.0,997.4814064099999,0.0
2025-01-01,104,17:10-17:20,0.9742,6169.473399999999,5.9578,6163.515599999999,1027.2525999999998,0.0,0.0,0.0,0.0,10800.0,1000.7494829199998,0.0
2025-01-01,105,17:20-17:30,0.9862,6191.99,0.0,6191.99,1031.9983333333332,0.0,0.0,0.0,0.0,10800.0,1017.7567563333332,0.0
2025-01-01,106,17:30-17:40,0.976,6464.5067,0.0,6464.5067,1077.4177833333333,0.0,0.0,0.0,0.0,10800.0,1051.5597565333333,0.0
2025-01-01,107,17:40-17:50,1.0742,5764.0309,0.4277,5763.6032,960.6005333333333,0.0,0.0,0.0,0.0,10800.0,1031.8770929066666,0.0
2025-01-01,108,17:50-18:00,1.2313,4529.45,0.0,4529.45,754.9083333333333,0.0,0.0,0.0,0.0,10800.0,929.5186308333333,0.0
2025-01-01,109,18:00-18:10,1.2561,4490.5328,0.0,4490.5328,748.4221333333332,0.0,0.0,0.0,0.0,10800.0,940.0930416799999,0.0
2025-01-01,110,18:10-18:20,1.2447,4644.0206,0.0307,4643.9899,773.9983166666666,0.0,0.0,0.0,0.0,10800.0,963.3957047549999,0.0
2025-01-01,111,18:20-18:30,1.2545,4469.21,0.0,4469.21,744.8683333333333,0.0,0.0,0.0,0.0,10800.0,934.4373241666666,0.0
2025-01-01,112,18:30-18:40,1.2522,4470.465,0.0,4470.465,745.0775,0.0,0.0,0.0,0.0,10800.0,932.9860454999999,0.0
2025-01-01,113,18:40-18:50,1.2881,4510.8756,0.0022,4510.8734,248.3768500000001,0.0,0.0,503.4353833333332,0.0,10240.627351851852,319.93422048500014,0.0
2025-01-01,114,18:50-19:00,1.3466,4486.17,0.0,4486.17,0.0,0.0,0.0,747.6949999999999,0.0,9409.85512962963,0.0,0.0
2025-01-01,115,19:00-19:10,1.3523,4471.7293,0.0,4471.7293,0.0,0.0,0.0,745.2882166666666,0.0,8581.757111111112,0.0,0.0
2025-01-01,116,19:10-19:20,1.3445,4439.8235,0.0,4439.8235,0.0,0.0,0.0,739.9705833333334,0.0,7759.567574074075,0.0,0.0
2025-01-01,117,19:20-19:30,1.3483,4387.19,0.0,4387.19,0.0,0.0,0.0,731.1983333333333,0.0,6947.124981481483,0.0,0.0
2025-01-01,118,19:30-19:40,1.349,4347.9765,0.0,4347.9765,0.0,0.0,0.0,724.66275,0.0,6141.94414814815,0.0,0.0
2025-01-01,119,19:40-19:50,1.3473,4300.6345,0.0,4300.6345,0.0,0.0,0.0,716.7724166666667,0.0,5345.530351851854,0.0,0.0
2025-01-01,120,19:50-20:00,1.3482,4315.99,0.0,4315.99,0.0,0.0,0.0,719.3316666666666,0.0,4546.272944444447,0.0,0.0
2025-01-01,121,20:00-20:10,1.3513,4483.2744,0.0,4483.2744,0.0,0.0,0.0,747.2124,0.0,3716.036944444447,0.0,0.0
2025-01-01,122,20:10-20:20,1.34,4551.706,0.0,4551.706,0.0,0.0,0.0,758.6176666666667,0.0,2873.1284259259282,0.0,0.0
2025-01-01,123,20:20-20:30,1.3489,4499.8,0.0,4499.8,0.0,0.0,0.0,749.9666666666667,0.0,2039.832129629632,0.0,0.0
2025-01-01,124,20:30-20:40,1.3952,4535.0935,0.0,4535.0935,0.0,0.0,0.0,755.8489166666666,0.0,1200.0000000000023,0.0,0.0
2025-01-01,125,20:40-20:50,1.2226,4528.916,0.0,4528.916,754.8193333333334,0.0,0.0,0.0,0.0,1200.0000000000023,922.8421169333333,0.0
2025-01-01,126,20:50-21:00,0.9332,4483.51,0.0,4483.51,747.2516666666667,0.0,0.0,0.0,0.0,1200.0000000000023,697.3352553333334,0.0
2025-01-01,127,21:00-21:10,0.9068,4548.2302,0.0,4548.2302,758.0383666666667,0.0,0.0,0.0,0.0,1200.0000000000023,687.3891908933334,0.0
2025-01-01,128,21:10-21:20,0.9371,4595.6841,0.0,4595.6841,765.94735,0.0,0.0,0.0,0.0,1200.0000000000023,717.7692616850001,0.0
2025-01-01,129,21:20-21:30,0.9371,4620.9,0.0,4620.9,770.1499999999999,0.0,0.0,0.0,0.0,1200.0000000000023,721.7075649999999,0.0
2025-01-01,130,21:30-21:40,0.9871,4653.7148,0.0,4653.7148,775.6191333333333,0.0,0.0,0.0,0.0,1200.0000000000023,765.6136465133333,0.0
2025-01-01,131,21:40-21:50,0.7764,4131.9845,0.0,4131.9845,688.6640833333332,0.0,0.0,0.0,0.0,1200.0000000000023,534.6787942999999,0.0
2025-01-01,132,21:50-22:00,0.4209,3363.0,0.0,3363.0,1393.8333333333333,0.0,833.3333333333333,0.0,0.0,1950.0000000000023,586.66445,0.0
2025-01-01,133,22:00-22:10,0.3859,3305.7588,0.0,3305.7588,1384.2931333333331,0.0,833.3333333333333,0.0,0.0,2700.0000000000023,534.1987201533333,0.0
2025-01-01,134,22:10-22:20,0.4368,3470.932,0.0,3470.932,578.4886666666666,0.0,0.0,0.0,0.0,2700.0000000000023,252.6838496,0.0
2025-01-01,135,22:20-22:30,0.4198,3521.37,0.0,3521.37,1420.2283333333332,0.0,833.3333333333333,0.0,0.0,3450.0000000000023,596.2118543333333,0.0
2025-01-01,136,22:30-22:40,0.4186,3561.5279,0.0,3561.5279,1426.9213166666666,0.0,833.3333333333333,0.0,0.0,4200.000000000002,597.3092631566667,0.0
2025-01-01,137,22:40-22:50,0.4241,3386.0679999999998,0.0,3386.0679999999998,1397.6779999999999,0.0,833.3333333333333,0.0,0.0,4950.000000000002,592.7552397999999,0.0
2025-01-01,138,22:50-23:00,0.4237,3289.99,0.0,3289.99,1381.665,0.0,833.3333333333333,0.0,0.0,5700.000000000002,585.4114605,0.0
2025-01-01,139,23:00-23:10,0.4248,3774.2551999999996,0.0,3774.2551999999996,1295.7091999999998,0.0,666.6666666666666,0.0,0.0,6300.000000000002,550.4172681599999,0.0
2025-01-01,140,23:10-23:20,0.424,3883.62,0.0,3883.62,1480.6033333333332,0.0,833.3333333333333,0.0,0.0,7050.000000000002,627.7758133333333,0.0
2025-01-01,141,23:20-23:30,0.422,3525.14,0.0,3525.14,1420.8566666666666,0.0,833.3333333333333,0.0,0.0,7800.000000000002,599.6015133333333,0.0
2025-01-01,142,23:30-23:40,0.424,3553.5908999999997,0.0,3553.5908999999997,1425.5984833333332,0.0,833.3333333333333,0.0,0.0,8550.000000000002,604.4537569333332,0.0
2025-01-01,143,23:40-23:50,0.4271,3697.1141,0.0,3697.1141,616.1856833333333,0.0,0.0,0.0,0.0,8550.000000000002,263.1729053516666,0.0
2025-01-01,144,23:50-24:00,0.4276,3696.6999999999994,0.0,3696.6999999999994,616.1166666666666,0.0,0.0,0.0,0.0,8550.000000000002,263.4514866666666,0.0
2025-01-02,1,0:00-0:10,0.4248,3622.5508999999997,0.0,3622.5508999999997,1437.0918166666665,0.0,833.3333333333333,0.0,0.0,9300.000000000002,610.47660372,0.0
2025-01-02,2,0:10-0:20,0.4245,3622.7610999999997,0.0,3622.7610999999997,1437.1268499999999,0.0,833.3333333333333,0.0,0.0,10050.000000000002,610.0603478249999,0.0
2025-01-02,3,0:20-0:30,0.4269,3708.23,0.0,3708.23,618.0383333333333,0.0,0.0,0.0,0.0,10050.000000000002,263.84056449999997,0.0
2025-01-02,4,0:30-0:40,0.4272,3750.5226,0.0,3750.5226,625.0871,0.0,0.0,0.0,0.0,10050.000000000002,267.03720912,0.0
2025-01-02,5,0:40-0:50,0.4271,3684.9038,0.0,3684.9038,614.1506333333333,0.0,0.0,0.0,0.0,10050.000000000002,262.30373549666666,0.0
2025-01-02,6,0:50-1:00,0.4285,3644.1399999999994,0.0,3644.1399999999994,607.3566666666666,0.0,0.0,0.0,0.0,10050.000000000002,260.25233166666663,0.0
2025-01-02,7,1:00-1:10,0.4311,3809.298,0.0,3809.298,634.8829999999999,0.0,0.0,0.0,0.0,10050.000000000002,273.69806129999995,0.0
2025-01-02,8,1:10-1:20,0.4302,3855.1226,0.0,3855.1226,642.5204333333334,0.0,0.0,0.0,0.0,10050.000000000002,276.41229042000003,0.0
2025-01-02,9,1:20-1:30,0.4279,3783.78,0.0,3783.78,630.63,0.0,0.0,0.0,0.0,10050.000000000002,269.846577,0.0
2025-01-02,10,1:30-1:40,0.4312,3907.3849,0.0,3907.3849,651.2308166666667,0.0,0.0,0.0,0.0,10050.000000000002,280.8107281466667,0.0
2025-01-02,11,1:40-1:50,0.4333,3968.2398,0.0,3968.2398,661.3733,0.0,0.0,0.0,0.0,10050.000000000002,286.57305089,0.0
2025-01-02,12,1:50-2:00,0.4311,3886.77,0.0,3886.77,647.795,0.0,0.0,0.0,0.0,10050.000000000002,279.26442449999996,0.0
2025-01-02,13,2:00-2:10,0.4293,3865.3901,0.0,3865.3901,644.2316833333333,0.0,0.0,0.0,0.0,10050.000000000002,276.56866165499997,0.0
2025-01-02,14,2:10-2:20,0.4324,3931.6860999999994,0.0,3931.6860999999994,655.2810166666666,0.0,0.0,0.0,0.0,10050.000000000002,283.34351160666665,0.0
2025-01-02,15,2:20-2:30,0.4367,4055.98,0.0,4055.98,675.9966666666667,0.0,0.0,0.0,0.0,10050.000000000002,295.2077443333333,0.0
2025-01-02,16,2:30-2:40,0.4348,4164.982,0.0,4164.982,694.1636666666666,0.0,0.0,0.0,0.0,10050.000000000002,301.82236226666663,0.0
2025-01-02,17,2:40-2:50,0.4335,4067.4326,0.0,4067.4326,677.9054333333333,0.0,0.0,0.0,0.0,10050.000000000002,293.87200535,0.0
2025-01-02,18,2:50-3:00,0.4357,3919.44,0.0,3919.44,653.24,0.0,0.0,0.0,0.0,10050.000000000002,284.616668,0.0
2025-01-02,19,3:00-3:10,0.4374,4068.323,0.0,4068.323,678.0538333333333,0.0,0.0,0.0,0.0,10050.000000000002,296.58074669999996,0.0
2025-01-02,20,3:10-3:20,0.4371,4140.4792,0.0,4140.4792,690.0798666666666,0.0,0.0,0.0,0.0,10050.000000000002,301.63390971999996,0.0
2025-01-02,21,3:20-3:30,0.4356,4061.1199999999994,0.0,4061.1199999999994,676.8533333333332,0.0,0.0,0.0,0.0,10050.000000000002,294.83731199999994,0.0
2025-01-02,22,3:30-3:40,0.4353,4138.7041,0.0,4138.7041,689.7840166666666,0.0,0.0,0.0,0.0,10050.000000000002,300.262982455,0.0
2025-01-02,23,3:40-3:50,0.436,4283.3011,0.0,4283.3011,713.8835166666665,0.0,0.0,0.0,0.0,10050.000000000002,311.2532132666666,0.0
2025-01-02,24,3:50-4:00,0.4378,4330.98,0.0,4330.98,721.8299999999999,0.0,0.0,0.0,0.0,10050.000000000002,316.017174,0.0
