序号,自然时段,附件1时间标签,电价(元/kWh),小区负载(kW),光伏预测功率(kW),净负荷功率(kW),负载电量(kWh),光伏电量(kWh),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),时段末SOC(kWh)
88,14:30-14:40,14:40,1.0906,5664.1948,5521.5066,142.6882000000005,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,0.0,10773.57625925926
89,14:40-14:50,14:50,0.9376,5672.7011,5268.781,403.9201000000003,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,0.0,10698.77624074074
90,14:50-15:00,15:00,0.6694,5682.2544,5009.7152,672.5392000000002,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10698.77624074074
91,15:00-15:10,15:10,0.66,5669.0195,4743.4484,925.5711000000001,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,0.0,10800.0
92,15:10-15:20,15:20,0.7217,5656.3651,4471.224,1185.1410999999998,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0
93,15:20-15:30,15:30,0.7308,5657.0867,4188.2025,1468.8841999999995,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0
94,15:30-15:40,15:40,0.7534,5662.6008,3889.3931,1773.2077000000004,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0
95,15:40-15:50,15:50,0.7823,5669.2596,3594.5946,2074.6650000000004,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0
96,15:50-16:00,16:00,0.8055,5673.4767,3303.8878,2369.5889,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0
97,16:00-16:10,16:10,0.8271,5671.0146,2998.4247,2672.5899000000004,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,0.0,10800.0
98,16:10-16:20,16:20,0.8519,5661.5926,2687.4131,2974.1794999999997,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,0.0,10800.0
99,16:20-16:30,16:30,0.8791,5665.8922,2383.1779,3282.7143,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,0.0,10800.0
100,16:30-16:40,16:40,0.9024,5689.0372,2089.1246,3599.9125999999997,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,0.0,10800.0
101,16:40-16:50,16:50,0.9163,5603.6614,1791.0829,3812.5784999999996,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,0.0,10800.0
102,16:50-17:00,17:00,0.9264,5466.7124,1501.7283,3964.9841000000006,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,0.0,10800.0
103,17:00-17:10,17:10,0.9462,5467.3939,1255.1723,4212.2216,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,0.0,10800.0
104,17:10-17:20,17:20,0.9742,5464.727,1036.3323,4428.3947,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,0.0,10800.0
105,17:20-17:30,17:30,0.9862,5492.4458,836.7775,4655.6683,915.4076333333334,139.46291666666667,775.9447166666666,0.0,0.0,0.0,10800.0
106,17:30-17:40,17:40,0.976,5621.7308,665.2313,4956.4995,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0
107,17:40-17:50,17:50,1.0742,5091.2126,516.6758,4574.5368,848.5354333333332,86.11263333333332,762.4227999999999,0.0,0.0,0.0,10800.0
108,17:50-18:00,18:00,1.2313,4208.5688,386.6731,3821.8957,701.4281333333333,64.44551666666666,636.9826166666667,0.0,0.0,0.0,10800.0
109,18:00-18:10,18:10,1.2561,4122.7611,275.7933,3846.9678,687.1268499999999,45.96554999999999,531.8940499999999,0.0,109.26725000000005,0.0,10678.591944444444
110,18:10-18:20,18:20,1.2447,4255.9358,182.9526,4072.9832,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,0.0,10678.591944444444
111,18:20-18:30,18:30,1.2545,4225.9524,108.3414,4117.611,704.3254,18.0569,686.2684999999999,0.0,0.0,0.0,10678.591944444444
112,18:30-18:40,18:40,1.2522,4233.3384,54.3121,4179.0262999999995,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,0.0,10678.591944444444
113,18:40-18:50,18:50,1.2881,4246.4625,18.6569,4227.8056,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666666,0.0,9895.664981481481
114,18:50-19:00,19:00,1.3466,4239.1795,0.2753,4238.9042,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,0.0,9110.682722222222
115,19:00-19:10,19:10,1.3523,4244.6684,0.2296,4244.4388,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,0.0,8324.675537037037
116,19:10-19:20,19:20,1.3445,4251.9187,0.6007,4251.318,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,0.0,7537.394425925926
117,19:20-19:30,19:30,1.3483,4256.6813,0.0,4256.6813,709.4468833333333,0.0,0.0,0.0,709.4468833333333,0.0,6749.120111111111
118,19:30-19:40,19:40,1.349,4267.3947,0.0,4267.3947,711.23245,0.0,0.0,0.0,711.23245,0.0,5958.861833333333
119,19:40-19:50,19:50,1.3473,4269.975,0.0,4269.975,711.6625,0.0,0.0,0.0,711.6625,0.0,5168.125722222222
120,19:50-20:00,20:00,1.3482,4268.6702,0.0,4268.6702,711.4450333333332,0.0,0.0,0.0,711.4450333333332,0.0,4377.63124074074
121,20:00-20:10,20:10,1.3513,4282.2245,0.0,4282.2245,713.7040833333333,0.0,0.0,0.0,713.7040833333333,0.0,3584.6267037037032
122,20:10-20:20,20:20,1.34,4291.7049,0.0,4291.7049,715.28415,0.0,0.0,0.0,715.28415,0.0,2789.866537037037
123,20:20-20:30,20:30,1.3489,4291.3611,0.0,4291.3611,715.22685,0.0,0.0,0.0,715.22685,0.0,1995.1700370370368
124,20:30-20:40,20:40,1.3952,4293.9182,0.0,4293.9182,715.6530333333333,0.0,0.0,0.0,715.6530333333333,0.0,1199.9999999999998
125,20:40-20:50,20:50,1.2226,4295.2135,0.0,4295.2135,715.8689166666666,0.0,715.8689166666666,0.0,0.0,0.0,1199.9999999999998
126,20:50-21:00,21:00,0.9332,4302.0307,0.0,4302.0307,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1199.9999999999998
127,21:00-21:10,21:10,0.9068,4320.9618,0.0,4320.9618,720.1603,0.0,720.1603,0.0,0.0,0.0,1199.9999999999998
128,21:10-21:20,21:20,0.9371,4302.3292,0.0,4302.3292,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,1199.9999999999998
129,21:20-21:30,21:30,0.9371,4322.6758,0.0,4322.6758,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1199.9999999999998
130,21:30-21:40,21:40,0.9871,4428.8083,0.0,4428.8083,738.1347166666666,0.0,738.1347166666666,0.0,0.0,0.0,1199.9999999999998
131,21:40-21:50,21:50,0.7764,4030.1614,0.0,4030.1614,671.6935666666666,0.0,671.6935666666666,0.0,0.0,0.0,1199.9999999999998
132,21:50-22:00,22:00,0.4209,3362.7419,0.0,3362.7419,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1949.9999999999998
133,22:00-22:10,22:10,0.3859,3309.3934,0.0,3309.3934,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,2700.0
134,22:10-22:20,22:20,0.4368,3412.9563,0.0,3412.9563,568.8260499999999,0.0,568.8260499999999,0.0,0.0,0.0,2700.0
135,22:20-22:30,22:30,0.4198,3381.9313,0.0,3381.9313,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,0.0,3450.0
136,22:30-22:40,22:40,0.4186,3386.5592,0.0,3386.5592,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,4200.0
137,22:40-22:50,22:50,0.4241,3400.4846,0.0,3400.4846,566.7474333333332,0.0,566.7474333333332,0.0,0.0,0.0,4200.0
138,22:50-23:00,23:00,0.4237,3399.2426,0.0,3399.2426,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4950.0
139,23:00-23:10,23:10,0.4248,3406.9809,0.0,3406.9809,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0
140,23:10-23:20,23:20,0.424,3416.1518,0.0,3416.1518,569.3586333333333,0.0,569.3586333333333,0.0,0.0,0.0,4950.0
141,23:20-23:30,23:30,0.422,3421.9811,0.0,3421.9811,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,5700.0
142,23:30-23:40,23:40,0.424,3429.6923,0.0,3429.6923,571.6153833333333,0.0,904.9487166666665,333.3333333333333,0.0,0.0,6000.0
143,23:40-23:50,23:50,0.4271,3439.061,0.0,3439.061,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,6000.0
144,23:50-24:00,0:00+1,0.4276,3444.7259,0.0,3444.7259,574.1209833333332,0.0,574.1209833333332,0.0,0.0,0.0,6000.0
