序号,自然时段,附件1时间标签,电价(元/kWh),小区负载(kW),光伏预测功率(kW),净负荷功率(kW),负载电量(kWh),光伏电量(kWh),净负荷电量(kWh)
31,5:00-5:10,05:10:00,0.4333,3562.3171,18.6781,3543.639,593.7195166666667,3.1130166666666668,590.6065
32,5:10-5:20,05:20:00,0.4439,3591.3809,54.4698,3536.9111000000003,598.5634833333334,9.078299999999999,589.4851833333333
33,5:20-5:30,05:30:00,0.4301,3579.7045,108.9718,3470.7327,596.6174166666666,18.161966666666665,578.4554499999999
34,5:30-5:40,05:40:00,0.3713,3486.119,184.1603,3301.9587,581.0198333333333,30.693383333333333,550.32645
35,5:40-5:50,05:50:00,0.5708,3823.8994,277.0582,3546.8412,637.3165666666666,46.17636666666667,591.1401999999999
36,5:50-6:00,06:00:00,0.9099,4398.0727,388.5494,4009.5233,733.0121166666665,64.75823333333332,668.2538833333333
37,6:00-6:10,06:10:00,0.9368,4454.0123,521.2803,3932.7320000000004,742.3353833333333,86.88005,655.4553333333333
38,6:10-6:20,06:20:00,0.8758,4371.7919,672.7677,3699.0242000000003,728.6319833333333,112.12795,616.5040333333334
39,6:20-6:30,06:30:00,0.8759,4392.953,844.2261,3548.7269000000006,732.1588333333334,140.70434999999998,591.4544833333334
40,6:30-6:40,06:40:00,0.8601,4384.5956,1039.6744,3344.9211999999998,730.7659333333332,173.27906666666667,557.4868666666666
41,6:40-6:50,06:50:00,0.8442,4434.7757,1259.3375,3175.4382,739.1292833333333,209.88958333333335,529.2397
42,6:50-7:00,07:00:00,0.8334,4523.4561,1508.6318,3014.8243,753.90935,251.43863333333334,502.4707166666667
43,7:00-7:10,07:10:00,0.8092,4524.0721,1791.4107,2732.6614000000004,754.0120166666667,298.56845,455.4435666666667
44,7:10-7:20,07:20:00,0.7972,4545.8867,2085.4865,2460.4002,757.6477833333333,347.5810833333333,410.06669999999997
45,7:20-7:30,07:30:00,0.7644,4523.2418,2381.2611,2141.9806999999996,753.8736333333333,396.87685,356.99678333333327
46,7:30-7:40,07:40:00,0.6899,4383.3566,2683.1752,1700.1814,730.5594333333333,447.1958666666667,283.36356666666666
47,7:40-7:50,07:50:00,0.86,4910.4599,2986.3552,1924.1046999999999,818.4099833333332,497.72586666666666,320.6841166666666
48,7:50-8:00,08:00:00,1.1617,5799.7327,3289.204,2510.5286999999994,966.6221166666666,548.2006666666666,418.4214499999999
49,8:00-8:10,08:10:00,1.1683,5884.826,3593.3613,2291.4647,980.8043333333333,598.89355,381.9107833333333
50,8:10-8:20,08:20:00,1.0956,5748.0713,3890.7332,1857.3380999999995,958.0118833333332,648.4555333333333,309.5563499999999
51,8:20-8:30,08:30:00,1.0849,5769.0581,4181.3417,1587.7164000000002,961.5096833333333,696.8902833333333,264.61940000000004
52,8:30-8:40,08:40:00,1.061,5754.2105,4471.7657,1282.4448000000002,959.0350833333333,745.2942833333333,213.74080000000004
53,8:40-8:50,08:50:00,1.043,5824.1807,4752.8272,1071.3535000000002,970.6967833333333,792.1378666666666,178.55891666666668
54,8:50-9:00,09:00:00,1.036,5954.2601,5021.9074,932.3527000000004,992.3766833333334,836.9845666666666,155.3921166666667
55,9:00-9:10,09:10:00,1.0147,5958.9696,5285.4126,673.5570000000007,993.1616,880.9020999999999,112.25950000000012
56,9:10-9:20,09:20:00,0.9922,5929.5554,5543.1742,386.3811999999998,988.2592333333333,923.8623666666667,64.39686666666663
57,9:20-9:30,09:30:00,0.97,5923.7828,5788.4093,135.3734999999997,987.2971333333332,964.7348833333333,22.56224999999995
58,9:30-9:40,09:40:00,0.9422,5907.586,6012.1304,-104.54439999999977,984.5976666666667,1002.0217333333333,-17.424066666666626
59,9:40-9:50,09:50:00,0.9569,5899.1262,6216.1528,-317.02660000000014,983.1877,1036.0254666666665,-52.83776666666669
60,9:50-10:00,10:00:00,0.9977,5902.2196,6409.5941,-507.3744999999999,983.7032666666667,1068.2656833333333,-84.56241666666665
61,10:00-10:10,10:10,0.9919,5897.4793,6599.3808,-701.9014999999999,982.9132166666666,1099.8968,-116.98358333333331
62,10:10-10:20,10:20,0.9588,5886.7568,6766.7204,-879.9636,981.1261333333333,1127.7867333333334,-146.6606
63,10:20-10:30,10:30,0.9549,5873.4708,6914.5923,-1041.1215000000002,978.9118,1152.43205,-173.52025000000003
64,10:30-10:40,10:40,0.9839,5858.0308,7064.2053,-1206.1744999999992,976.3384666666667,1177.36755,-201.02908333333318
65,10:40-10:50,10:50,0.799,5844.9948,7197.4315,-1352.4366999999993,974.1658,1199.5719166666665,-225.40611666666655
66,10:50-11:00,11:00,0.5025,5839.0587,7303.1142,-1464.0555000000004,973.1764499999999,1217.1857,-244.00925000000007
67,11:00-11:10,11:10,0.4662,5838.7103,7387.6848,-1548.9745000000003,973.1183833333332,1231.2808,-258.1624166666667
68,11:10-11:20,11:20,0.5007,5823.4378,7459.227,-1635.7892000000002,970.5729666666666,1243.2044999999998,-272.6315333333333
69,11:20-11:30,11:30,0.4827,5814.7932,7520.7191,-1705.9259000000002,969.1322,1253.4531833333333,-284.32098333333334
70,11:30-11:40,11:40,0.4785,5832.3951,7568.2039,-1735.8088000000007,972.06585,1261.3673166666667,-289.3014666666668
71,11:40-11:50,11:50,0.4662,5712.901,7592.1539,-1879.2529000000004,952.1501666666666,1265.3589833333333,-313.20881666666673
72,11:50-12:00,12:00,0.4432,5519.4607,7601.0433,-2081.5826000000006,919.9101166666666,1266.84055,-346.93043333333344
73,12:00-12:10,12:10,0.4411,5494.7907,7612.316,-2117.5253000000002,915.7984499999999,1268.7193333333332,-352.92088333333334
74,12:10-12:20,12:20,0.4551,5514.4524,7602.6524,-2088.2,919.0754,1267.1087333333332,-348.0333333333333
75,12:20-12:30,12:30,0.4463,5485.829,7554.1872,-2068.3582000000006,914.3048333333332,1259.0312,-344.72636666666676
76,12:30-12:40,12:40,0.4113,5462.3628,7472.7384,-2010.3756000000003,910.3937999999999,1245.4564,-335.06260000000003
77,12:40-12:50,12:50,0.5682,5566.1066,7393.4172,-1827.3105999999998,927.6844333333333,1232.2361999999998,-304.5517666666666
78,12:50-13:00,13:00,0.8279,5725.7548,7312.7979,-1587.0430999999999,954.2924666666665,1218.79965,-264.5071833333333
79,13:00-13:10,13:10,0.8636,5739.4957,7194.541,-1455.0452999999998,956.5826166666667,1199.0901666666666,-242.50754999999995
80,13:10-13:20,13:20,0.8416,5714.6836,7053.1371,-1338.4534999999996,952.4472666666667,1175.5228499999998,-223.07558333333327
81,13:20-13:30,13:30,0.8618,5717.8505,6910.4064,-1192.5559000000003,952.9750833333333,1151.7343999999998,-198.7593166666667
82,13:30-13:40,13:40,0.8623,5708.2486,6772.4075,-1064.1589000000004,951.3747666666666,1128.7345833333334,-177.35981666666672
83,13:40-13:50,13:50,0.9026,5696.9182,6607.36,-910.4417999999996,949.4863666666666,1101.2266666666665,-151.74029999999993
84,13:50-14:00,14:00,0.9754,5692.2983,6412.5085,-720.2101999999995,948.7163833333334,1068.7514166666665,-120.03503333333325
85,14:00-14:10,14:10,1.0002,5687.1291,6214.0158,-526.8867,947.8548499999999,1035.6693,-87.81445
86,14:10-14:20,14:20,0.9978,5678.962,6000.7112,-321.7491999999993,946.4936666666667,1000.1185333333333,-53.62486666666655
87,14:20-14:30,14:30,1.0271,5669.4508,5766.9816,-97.53080000000045,944.9084666666665,961.1636,-16.255133333333408
88,14:30-14:40,14:40,1.0906,5664.1948,5521.5066,142.6882000000005,944.0324666666667,920.2511,23.78136666666675
89,14:40-14:50,14:50,0.9376,5672.7011,5268.781,403.9201000000003,945.4501833333334,878.1301666666666,67.3200166666667
90,14:50-15:00,15:00,0.6694,5682.2544,5009.7152,672.5392000000002,947.0423999999999,834.9525333333332,112.0898666666667
91,15:00-15:10,15:10,0.66,5669.0195,4743.4484,925.5711000000001,944.8365833333334,790.5747333333334,154.26185
92,15:10-15:20,15:20,0.7217,5656.3651,4471.224,1185.1410999999998,942.7275166666666,745.204,197.52351666666664
93,15:20-15:30,15:30,0.7308,5657.0867,4188.2025,1468.8841999999995,942.8477833333333,698.03375,244.81403333333324
94,15:30-15:40,15:40,0.7534,5662.6008,3889.3931,1773.2077000000004,943.7668,648.2321833333333,295.5346166666667
95,15:40-15:50,15:50,0.7823,5669.2596,3594.5946,2074.6650000000004,944.8766,599.0990999999999,345.77750000000003
96,15:50-16:00,16:00,0.8055,5673.4767,3303.8878,2369.5889,945.57945,550.6479666666667,394.93148333333335
97,16:00-16:10,16:10,0.8271,5671.0146,2998.4247,2672.5899000000004,945.1691000000001,499.73744999999997,445.43165000000005
98,16:10-16:20,16:20,0.8519,5661.5926,2687.4131,2974.1794999999997,943.5987666666666,447.90218333333337,495.69658333333325
99,16:20-16:30,16:30,0.8791,5665.8922,2383.1779,3282.7143,944.3153666666667,397.1963166666667,547.11905
100,16:30-16:40,16:40,0.9024,5689.0372,2089.1246,3599.9125999999997,948.1728666666666,348.18743333333333,599.9854333333333
101,16:40-16:50,16:50,0.9163,5603.6614,1791.0829,3812.5784999999996,933.9435666666666,298.5138166666667,635.4297499999999
102,16:50-17:00,17:00,0.9264,5466.7124,1501.7283,3964.9841000000006,911.1187333333334,250.28805,660.8306833333334
103,17:00-17:10,17:10,0.9462,5467.3939,1255.1723,4212.2216,911.2323166666666,209.19538333333333,702.0369333333333
104,17:10-17:20,17:20,0.9742,5464.727,1036.3323,4428.3947,910.7878333333333,172.72205,738.0657833333332
105,17:20-17:30,17:30,0.9862,5492.4458,836.7775,4655.6683,915.4076333333334,139.46291666666667,775.9447166666666
106,17:30-17:40,17:40,0.976,5621.7308,665.2313,4956.4995,936.9551333333334,110.87188333333333,826.0832499999999
107,17:40-17:50,17:50,1.0742,5091.2126,516.6758,4574.5368,848.5354333333332,86.11263333333332,762.4227999999999
108,17:50-18:00,18:00,1.2313,4208.5688,386.6731,3821.8957,701.4281333333333,64.44551666666666,636.9826166666667
109,18:00-18:10,18:10,1.2561,4122.7611,275.7933,3846.9678,687.1268499999999,45.96554999999999,641.1613
110,18:10-18:20,18:20,1.2447,4255.9358,182.9526,4072.9832,709.3226333333333,30.492099999999997,678.8305333333333
111,18:20-18:30,18:30,1.2545,4225.9524,108.3414,4117.611,704.3254,18.0569,686.2684999999999
112,18:30-18:40,18:40,1.2522,4233.3384,54.3121,4179.0262999999995,705.5563999999999,9.052016666666667,696.5043833333332
113,18:40-18:50,18:50,1.2881,4246.4625,18.6569,4227.8056,707.7437499999999,3.1094833333333334,704.6342666666666
114,18:50-19:00,19:00,1.3466,4239.1795,0.2753,4238.9042,706.5299166666666,0.04588333333333333,706.4840333333333
115,19:00-19:10,19:10,1.3523,4244.6684,0.2296,4244.4388,707.4447333333333,0.038266666666666664,707.4064666666666
116,19:10-19:20,19:20,1.3445,4251.9187,0.6007,4251.318,708.6531166666666,0.10011666666666666,708.553
117,19:20-19:30,19:30,1.3483,4256.6813,0.0,4256.6813,709.4468833333333,0.0,709.4468833333333
118,19:30-19:40,19:40,1.349,4267.3947,0.0,4267.3947,711.23245,0.0,711.23245
119,19:40-19:50,19:50,1.3473,4269.975,0.0,4269.975,711.6625,0.0,711.6625
120,19:50-20:00,20:00,1.3482,4268.6702,0.0,4268.6702,711.4450333333332,0.0,711.4450333333332
121,20:00-20:10,20:10,1.3513,4282.2245,0.0,4282.2245,713.7040833333333,0.0,713.7040833333333
122,20:10-20:20,20:20,1.34,4291.7049,0.0,4291.7049,715.28415,0.0,715.28415
123,20:20-20:30,20:30,1.3489,4291.3611,0.0,4291.3611,715.22685,0.0,715.22685
124,20:30-20:40,20:40,1.3952,4293.9182,0.0,4293.9182,715.6530333333333,0.0,715.6530333333333
125,20:40-20:50,20:50,1.2226,4295.2135,0.0,4295.2135,715.8689166666666,0.0,715.8689166666666
126,20:50-21:00,21:00,0.9332,4302.0307,0.0,4302.0307,717.0051166666667,0.0,717.0051166666667
127,21:00-21:10,21:10,0.9068,4320.9618,0.0,4320.9618,720.1603,0.0,720.1603
128,21:10-21:20,21:20,0.9371,4302.3292,0.0,4302.3292,717.0548666666666,0.0,717.0548666666666
129,21:20-21:30,21:30,0.9371,4322.6758,0.0,4322.6758,720.4459666666667,0.0,720.4459666666667
130,21:30-21:40,21:40,0.9871,4428.8083,0.0,4428.8083,738.1347166666666,0.0,738.1347166666666
131,21:40-21:50,21:50,0.7764,4030.1614,0.0,4030.1614,671.6935666666666,0.0,671.6935666666666
132,21:50-22:00,22:00,0.4209,3362.7419,0.0,3362.7419,560.4569833333333,0.0,560.4569833333333
133,22:00-22:10,22:10,0.3859,3309.3934,0.0,3309.3934,551.5655666666667,0.0,551.5655666666667
134,22:10-22:20,22:20,0.4368,3412.9563,0.0,3412.9563,568.8260499999999,0.0,568.8260499999999
135,22:20-22:30,22:30,0.4198,3381.9313,0.0,3381.9313,563.6552166666667,0.0,563.6552166666667
136,22:30-22:40,22:40,0.4186,3386.5592,0.0,3386.5592,564.4265333333333,0.0,564.4265333333333
137,22:40-22:50,22:50,0.4241,3400.4846,0.0,3400.4846,566.7474333333332,0.0,566.7474333333332
138,22:50-23:00,23:00,0.4237,3399.2426,0.0,3399.2426,566.5404333333333,0.0,566.5404333333333
139,23:00-23:10,23:10,0.4248,3406.9809,0.0,3406.9809,567.83015,0.0,567.83015
140,23:10-23:20,23:20,0.424,3416.1518,0.0,3416.1518,569.3586333333333,0.0,569.3586333333333
141,23:20-23:30,23:30,0.422,3421.9811,0.0,3421.9811,570.3301833333333,0.0,570.3301833333333
142,23:30-23:40,23:40,0.424,3429.6923,0.0,3429.6923,571.6153833333333,0.0,571.6153833333333
143,23:40-23:50,23:50,0.4271,3439.061,0.0,3439.061,573.1768333333333,0.0,573.1768333333333
144,23:50-24:00,0:00+1,0.4276,3444.7259,0.0,3444.7259,574.1209833333332,0.0,574.1209833333332
